globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
1205 | Revision_1217/org/xbill/DNS/DNSOutput.java | 121 | 126 | 19 | 786 | writeU16 | writeU16(int val) | 121 | 126 | org.xbill.DNS | DNSOutput
1206 | Revision_1217/org/xbill/DNS/DNSOutput.java | 133 | 140 | 19 | 787 | writeU32 | writeU32(long val) | 133 | 140 | org.xbill.DNS | DNSOutput
958 | Revision_1217/org/xbill/DNS/ExtendedResolver.java | 68 | 75 | 20 | 66 | send | send(int n) | 62 | 76 | org.xbill.DNS | ExtendedResolver
979 | Revision_1217/org/xbill/DNS/ExtendedResolver.java | 147 | 156 | 20 | 330 | receiveMessage | receiveMessage(Object id, Message m) | 143 | 158 | org.xbill.DNS | ExtendedResolver
979 | Revision_1217/org/xbill/DNS/ExtendedResolver.java | 214 | 224 | 20 | 393 | handleException | handleException(Object id, Exception e) | 165 | 232 | org.xbill.DNS | ExtendedResolver
957 | Revision_1217/org/xbill/DNS/ExtendedResolver.java | 258 | 264 | 21 | 338 | ExtendedResolver | ExtendedResolver() throws UnknownHostException | 255 | 267 | org.xbill.DNS | ExtendedResolver
979 | Revision_1217/org/xbill/DNS/ExtendedResolver.java | 277 | 284 | 21 | NULL | NULL | NULL | NULL | NULL |  | 
974 | Revision_1217/org/xbill/DNS/FindServer.java | 122 | 126 | 22 | 227 | findResolvConf | findResolvConf(String file) | 107 | 154 | org.xbill.DNS | FindServer
974 | Revision_1217/org/xbill/DNS/FindServer.java | 127 | 133 | 22 | 227 | findResolvConf | findResolvConf(String file) | 107 | 154 | org.xbill.DNS | FindServer
1061 | Revision_1217/org/xbill/DNS/FindServer.java | 204 | 211 | 23 | 227 | findWin | findWin(InputStream in) | 170 | 246 | org.xbill.DNS | FindServer
1061 | Revision_1217/org/xbill/DNS/FindServer.java | 213 | 220 | 23 | 227 | findWin | findWin(InputStream in) | 170 | 246 | org.xbill.DNS | FindServer
1061 | Revision_1217/org/xbill/DNS/FindServer.java | 222 | 229 | 23 | 227 | findWin | findWin(InputStream in) | 170 | 246 | org.xbill.DNS | FindServer
1165 | Revision_1217/org/xbill/DNS/Inet6Address.java | 77 | 83 | 24 | 489 | Inet6Address | Inet6Address(String s) throws TextParseException | 46 | 120 | org.xbill.DNS | Inet6Address
1166 | Revision_1217/org/xbill/DNS/Record.java | 377 | 382 | 24 | 666 | byteArrayFromString | byteArrayFromString(String s) throws TextParseException | 372 | 429 | org.xbill.DNS | Record
1110 | Revision_1217/org/xbill/DNS/Inet6Address.java | 138 | 142 | 25 | 81 | toString | toString() | 128 | 199 | org.xbill.DNS | Inet6Address
1111 | Revision_1217/org/xbill/DNS/Lookup.java | 506 | 510 | 25 | 335 | run | run() | 471 | 513 | org.xbill.DNS | Lookup
1111 | Revision_1217/org/xbill/DNS/Lookup.java | 499 | 503 | 25 | 335 | run | run() | 471 | 513 | org.xbill.DNS | Lookup
1111 | Revision_1217/org/xbill/DNS/Lookup.java | 491 | 495 | 25 | 335 | run | run() | 471 | 513 | org.xbill.DNS | Lookup
1111 | Revision_1217/org/xbill/DNS/Lookup.java | 495 | 499 | 25 | 335 | run | run() | 471 | 513 | org.xbill.DNS | Lookup
