gcid,filePath,folder,all_files,num_files,total_changes,first_revision,last_revision
217,dnsSIGRecord.java,,dnsSIGRecord.java,1,2,8,41
218,dnsSIGRecord.java,,dnsSIGRecord.java,1,2,8,41
219,SIGRecord.java,,SIGRecord.java,1,1,8,8
220,SIGRecord.java,,SIGRecord.java,1,5,8,248
223,SIGRecord.java,,SIGRecord.java,1,1,278,278
224,SIGRecord.java,,SIGRecord.java,1,3,278,866
225,dnsSOARecord.java,,dnsSOARecord.java,1,1,41,41
226,SOARecord.java,,SOARecord.java,1,4,41,248
227,dnsSOARecord.java,,dnsSOARecord.java,1,1,41,41
228,SOARecord.java,,SOARecord.java,1,4,41,248
229,dnsSOARecord.java,,dnsSOARecord.java,1,3,48,61
230,SOARecord.java,,SOARecord.java,1,3,48,61
231,dnsSOARecord.java,,dnsSOARecord.java,1,3,48,61
232,SOARecord.java,,SOARecord.java,1,7,48,1210
233,dnsTSIGRecord.java,,dnsTSIGRecord.java,1,4,7,48
234,TSIGRecord.java,,TSIGRecord.java,1,6,7,94
235,dnsTSIGRecord.java,,dnsTSIGRecord.java,1,4,7,48
236,TSIGRecord.java,,TSIGRecord.java,1,6,7,94
237,dnsTSIGRecord.java,,dnsTSIGRecord.java,1,2,7,18
238,dnsTSIGRecord.java,,dnsTSIGRecord.java,1,2,7,20
239,TSIGRecord.java,,TSIGRecord.java,1,2,7,18
240,TSIGRecord.java,,TSIGRecord.java,1,1,7,7
241,dnsTXTRecord.java,,dnsTXTRecord.java,1,3,37,52
242,TXTRecord.java,,TXTRecord.java,1,5,37,753
243,TXTRecord.java,,TXTRecord.java,1,4,37,94
244,dnsTXTRecord.java,,dnsTXTRecord.java,1,3,37,52
245,dnsTXTRecord.java,,dnsTXTRecord.java,1,2,37,41
246,TXTRecord.java,,TXTRecord.java,1,2,37,41
247,dnsTXTRecord.java,,dnsTXTRecord.java,1,3,37,43
248,TXTRecord.java,,TXTRecord.java,1,2,37,41
249,dnsTXTRecord.java,,dnsTXTRecord.java,1,2,41,43
250,TXTRecord.java,,TXTRecord.java,1,4,41,753
251,TXTRecord.java,,TXTRecord.java,1,5,41,753
252,dnsTXTRecord.java,,dnsTXTRecord.java,1,2,41,43
