cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",6,8,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6, 9]","[6]"
"Type3","Block",6,9,2,1.0000,0,"SIMILARITY_PRESERVING","[6, 9]","[6, 9]","[6, 9]"
"Type3","Block",6,10,2,1.0000,0,"SIMILARITY_PRESERVING","[6, 9]","[6, 9]","[6, 9]"
"Type3","Block",7,8,1,1.0000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6]"
"Type3","Block",7,9,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6, 9]"
"Type3","Block",7,10,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6, 9]"
"Type3","Block",8,9,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6, 9]"
"Type3","Block",8,10,1,0.5000,0,"SIMILARITY_PRESERVING","[6]","[6]","[6, 9]"
"Type3","Block",9,10,2,1.0000,0,"SIMILARITY_PRESERVING","[6, 9]","[6, 9]","[6, 9]"
"Type3","Block",339,340,1,0.5000,0,"SIMILARITY_PRESERVING","[28]","[28]","[28, 30]"
"Type3","Block",871,872,2,1.0000,0,"SIMILARITY_PRESERVING","[269, 298]","[269, 298]","[269, 298]"
"Type3","Block",11,12,1,0.5000,0,"SIMILARITY_PRESERVING","[41]","[41, 94]","[41]"
"Type3","Block",11,13,1,0.5000,0,"SIMILARITY_PRESERVING","[41]","[41, 94]","[41]"
"Type3","Block",11,14,2,1.0000,0,"SIMILARITY_PRESERVING","[41, 94]","[41, 94]","[41, 94]"
"Type3","Block",12,13,1,1.0000,0,"SIMILARITY_PRESERVING","[41]","[41]","[41]"
"Type3","Block",12,14,1,0.5000,0,"SIMILARITY_PRESERVING","[41]","[41]","[41, 94]"
"Type3","Block",13,14,1,0.5000,0,"SIMILARITY_PRESERVING","[41]","[41]","[41, 94]"
"Type3","Block",475,478,2,0.4000,0,"SIMILARITY_PRESERVING","[41, 45]","[41, 45, 94, 247, 599]","[41, 45]"
"Type3","Block",475,481,2,0.4000,0,"SIMILARITY_PRESERVING","[41, 45]","[41, 45, 94, 247, 599]","[41, 45]"
"Type3","Block",475,482,4,0.5000,0,"SIMILARITY_PRESERVING","[41, 45, 94, 247]","[41, 45, 94, 247, 599]","[41, 45, 94, 247, 756, 1208, 1470]"
"Type3","Block",475,564,1,0.2000,0,"SIMILARITY_PRESERVING","[247]","[41, 45, 94, 247, 599]","[247]"
"Type3","Block",475,569,1,0.1667,0,"SIMILARITY_PRESERVING","[247]","[41, 45, 94, 247, 599]","[247, 1208]"
