globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
1210 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITOutputReader.java | 370 | 377 | 90 | 1254 | readFrames | private void readFrames(String frameSep) throws IOException | 358 | 418 | org.openscience.jmol.io | ABINITOutputReader
1211 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITOutputReader.java | 158 | 165 | 90 | 431 | read | public ChemFile read() throws IOException | 120 | 283 | org.openscience.jmol.io | ABINITOutputReader
1213 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 120 | 128 | 91 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
1214 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITOutputReader.java | 377 | 385 | 91 | 1254 | readFrames | private void readFrames(String frameSep) throws IOException | 358 | 418 | org.openscience.jmol.io | ABINITOutputReader
1215 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITOutputReader.java | 197 | 206 | 91 | 431 | read | public ChemFile read() throws IOException | 120 | 283 | org.openscience.jmol.io | ABINITOutputReader
1213 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 122 | 127 | 92 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
1220 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITOutputReader.java | 388 | 394 | 92 | 1254 | readFrames | private void readFrames(String frameSep) throws IOException | 358 | 418 | org.openscience.jmol.io | ABINITOutputReader
1216 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 189 | 194 | 92 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
1217 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 180 | 186 | 92 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
1218 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITOutputReader.java | 242 | 250 | 92 | 431 | read | public ChemFile read() throws IOException | 120 | 283 | org.openscience.jmol.io | ABINITOutputReader
1219 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITInputReader.java | 172 | 177 | 92 | 431 | read | public ChemFile read() throws IOException | 89 | 259 | org.openscience.jmol.io | ABINITInputReader
1215 | Revision_786/Jmol/src/org/openscience/jmol/io/ABINITOutputReader.java | 199 | 204 | 92 | 431 | read | public ChemFile read() throws IOException | 120 | 283 | org.openscience.jmol.io | ABINITOutputReader
