n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,TP,TN,FP,FN,sensitivity,specificity,gmean,model,verification_revision,threshold,train_size
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,525,0.9,232
3,2,1,0.5,1.0,1.0,0.75,0.6666666666666666,1,1,0,1,0.5,1.0,0.7071067811865476,RandomForest,529,0.639,233
3,2,1,-0.5,0.5,0.8333333333333333,0.25,0.5,1,0,1,1,0.5,0.0,0.0,LightGBM,529,0.606,233
3,2,1,1.0,1.0,1.0,1.0,1.0,2,1,0,0,1.0,1.0,1.0,XGBoost,529,0.639,233
3,2,1,0.5,0.5,0.8333333333333333,0.75,0.6666666666666666,1,1,0,1,0.5,1.0,0.7071067811865476,CatBoost,529,0.9,233
4,0,4,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,536,0.639,236
4,0,4,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,536,0.9,236
4,0,4,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,536,0.639,236
4,0,4,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,536,0.9,236
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,574,0.639,240
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,574,0.9,240
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,574,0.639,240
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,574,0.884,240
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,576,0.639,242
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,576,0.9,242
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,576,0.737,242
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,576,0.884,242
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,579,0.655,244
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,579,0.9,244
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,579,0.737,244
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,579,0.884,244
15,11,4,0.21320071635561041,0.8409090909090909,0.9488390397481307,0.6136363636363636,0.7619047619047619,8,2,2,3,0.7273,0.5,0.6030226891555273,RandomForest,586,0.655,245
15,11,4,-0.44320263021395917,0.38636363636363635,0.7009157509157509,0.375,0.0,0,3,1,11,0.0,0.75,0.0,LightGBM,586,0.9,245
15,11,4,-0.12309149097933272,0.6136363636363636,0.8393939393939394,0.4318181818181818,0.47058823529411764,4,2,2,7,0.3636,0.5,0.4264014327112209,XGBoost,586,0.737,245
15,11,4,0.0,0.7045454545454546,0.8956709956709956,0.5,0.0,0,4,0,11,0.0,1.0,0.0,CatBoost,586,0.884,245
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,598,0.688,260
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,598,0.835,260
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,598,0.737,260
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,598,0.884,260
7,6,1,1.0,1.0,1.0,1.0,1.0,6,1,0,0,1.0,1.0,1.0,RandomForest,630,0.688,262
7,6,1,0.47140452079103173,1.0,1.0,0.8333333333333333,0.8,4,1,0,2,0.6667,1.0,0.816496580927726,LightGBM,630,0.835,262
7,6,1,1.0,1.0,1.0,1.0,1.0,6,1,0,0,1.0,1.0,1.0,XGBoost,630,0.737,262
7,6,1,1.0,1.0,1.0,1.0,1.0,6,1,0,0,1.0,1.0,1.0,CatBoost,630,0.884,262
6,4,2,0.0,1.0,1.0,0.5,0.0,0,2,0,4,0.0,1.0,0.0,RandomForest,634,0.688,269
6,4,2,0.31622776601683794,1.0,1.0,0.625,0.4,1,2,0,3,0.25,1.0,0.5,LightGBM,634,0.753,269
6,4,2,0.5,1.0,1.0,0.75,0.6666666666666666,2,2,0,2,0.5,1.0,0.7071067811865476,XGBoost,634,0.737,269
6,4,2,0.0,1.0,1.0,0.5,0.0,0,2,0,4,0.0,1.0,0.0,CatBoost,634,0.884,269
4,3,1,1.0,1.0,1.0,1.0,1.0,3,1,0,0,1.0,1.0,1.0,RandomForest,635,0.688,275
4,3,1,1.0,1.0,1.0,1.0,1.0,3,1,0,0,1.0,1.0,1.0,LightGBM,635,0.753,275
4,3,1,1.0,1.0,1.0,1.0,1.0,3,1,0,0,1.0,1.0,1.0,XGBoost,635,0.737,275
4,3,1,1.0,1.0,1.0,1.0,1.0,3,1,0,0,1.0,1.0,1.0,CatBoost,635,0.884,275
4,3,1,1.0,1.0,1.0,1.0,1.0,3,1,0,0,1.0,1.0,1.0,RandomForest,636,0.688,279
4,3,1,1.0,1.0,1.0,1.0,1.0,3,1,0,0,1.0,1.0,1.0,LightGBM,636,0.753,279
4,3,1,0.3333333333333333,0.3333333333333333,0.8333333333333333,0.6666666666666666,0.5,1,1,0,2,0.3333,1.0,0.5773502691896257,XGBoost,636,0.737,279
4,3,1,1.0,1.0,1.0,1.0,1.0,3,1,0,0,1.0,1.0,1.0,CatBoost,636,0.835,279
1,1,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,639,0.688,283
1,1,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,639,0.753,283
1,1,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,639,0.737,283
1,1,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,639,0.835,283
10,9,1,0.3333333333333333,1.0,1.0,0.7777777777777778,0.7142857142857143,5,1,0,4,0.5556,1.0,0.7453559924999299,RandomForest,644,0.688,284
10,9,1,-0.2721655269759087,0.5555555555555556,0.95,0.2777777777777778,0.6666666666666666,5,0,1,4,0.5556,0.0,0.0,LightGBM,644,0.753,284
10,9,1,0.3333333333333333,1.0,1.0,0.7777777777777778,0.7142857142857143,5,1,0,4,0.5556,1.0,0.7453559924999299,XGBoost,644,0.737,284
10,9,1,0.3333333333333333,0.5555555555555556,0.95,0.7777777777777778,0.7142857142857143,5,1,0,4,0.5556,1.0,0.7453559924999299,CatBoost,644,0.835,284
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,653,0.688,294
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,653,0.753,294
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,653,0.737,294
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,653,0.835,294
1,1,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,655,0.688,295
1,1,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,655,0.753,295
1,1,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,655,0.737,295
1,1,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,655,0.835,295
3,3,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,656,0.688,296
3,3,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,656,0.753,296
3,3,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,656,0.737,296
3,3,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,656,0.835,296
11,7,4,-0.23904572186687872,0.8571428571428571,0.948051948051948,0.42857142857142855,0.7058823529411765,6,0,4,1,0.8571,0.0,0.0,RandomForest,657,0.688,299
11,7,4,0.0,0.6428571428571428,0.7500927643784786,0.5,0.7777777777777778,7,0,4,0,1.0,0.0,0.0,LightGBM,657,0.753,299
11,7,4,-0.23904572186687872,0.6428571428571428,0.8528138528138527,0.42857142857142855,0.7058823529411765,6,0,4,1,0.8571,0.0,0.0,XGBoost,657,0.737,299
11,7,4,0.0,0.8571428571428571,0.948051948051948,0.5,0.7777777777777778,7,0,4,0,1.0,0.0,0.0,CatBoost,657,0.835,299
14,10,4,0.6324555320336759,0.8999999999999999,0.9633333333333333,0.85,0.8235294117647058,7,4,0,3,0.7,1.0,0.8366600265340756,RandomForest,658,0.688,310
14,10,4,0.3,0.875,0.9555555555555556,0.65,0.8,8,2,2,2,0.8,0.5,0.6324555320336759,LightGBM,658,0.753,310
14,10,4,0.6454972243679028,0.975,0.9909090909090909,0.75,0.9090909090909091,10,2,2,0,1.0,0.5,0.7071067811865476,XGBoost,658,0.427,310
14,10,4,0.09128709291752768,0.8,0.9247474747474748,0.55,0.6666666666666666,6,2,2,4,0.6,0.5,0.5477225575051661,CatBoost,658,0.835,310
13,9,4,0.8432740427115678,0.9444444444444444,0.9797979797979797,0.9444444444444444,0.9411764705882353,8,4,0,1,0.8889,1.0,0.9428090415820634,RandomForest,659,0.59,324
13,9,4,1.0,1.0,1.0,1.0,1.0,9,4,0,0,1.0,1.0,1.0,LightGBM,659,0.9,324
13,9,4,0.5006939628599933,0.9444444444444444,0.9765432098765432,0.7638888888888888,0.8235294117647058,7,3,1,2,0.7778,0.75,0.7637626158259734,XGBoost,659,0.476,324
13,9,4,0.7200822998230956,0.9444444444444444,0.9797979797979798,0.8888888888888888,0.875,7,4,0,2,0.7778,1.0,0.8819171036881969,CatBoost,659,0.835,324
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,663,0.59,337
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,663,0.835,337
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,663,0.443,337
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,663,0.835,337
8,7,1,1.0,1.0,0.9999999999999999,1.0,1.0,7,1,0,0,1.0,1.0,1.0,RandomForest,664,0.606,339
8,7,1,1.0,1.0,1.0,1.0,1.0,7,1,0,0,1.0,1.0,1.0,LightGBM,664,0.835,339
8,7,1,1.0,1.0,1.0,1.0,1.0,7,1,0,0,1.0,1.0,1.0,XGBoost,664,0.443,339
8,7,1,1.0,1.0,1.0,1.0,1.0,7,1,0,0,1.0,1.0,1.0,CatBoost,664,0.835,339
2,2,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,666,0.59,347
2,2,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,666,0.753,347
2,2,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,666,0.476,347
2,2,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,666,0.835,347
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,670,0.541,349
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,670,0.214,349
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,670,0.476,349
