n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size,TP,TN,FP,FN,sensitivity,specificity
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,402,0.149,166,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,417,0.459,167,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,417,0.165,167,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,417,0.361,167,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,417,0.802,167,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,420,0.459,170,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,420,0.165,170,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,420,0.361,170,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,420,0.802,170,,,,,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,423,0.459,173,,,,,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,423,0.165,173,,,,,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,423,0.361,173,,,,,,
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,423,0.541,173,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,424,0.459,174,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,424,0.165,174,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,424,0.361,174,,,,,,
3,0,3,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,424,0.541,174,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,425,0.459,177,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,425,0.165,177,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,425,0.361,177,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,425,0.541,177,,,,,,
104,0,104,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,443,0.459,178,,,,,,
104,0,104,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,443,0.165,178,,,,,,
104,0,104,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,443,0.361,178,,,,,,
104,0,104,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,443,0.802,178,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,455,0.476,282,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,455,0.443,282,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,455,0.737,282,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,455,0.818,282,,,,,,
5,3,2,0.6123724356957946,0.6666666666666666,0.8055555555555556,0.75,0.8571428571428571,0.7071067811865476,RandomForest,461,0.476,283,3.0,1.0,1.0,0.0,1.0,0.5
5,3,2,0.6123724356957946,0.6666666666666666,0.8055555555555556,0.75,0.8571428571428571,0.7071067811865476,LightGBM,461,0.443,283,3.0,1.0,1.0,0.0,1.0,0.5
5,3,2,0.16666666666666666,0.6666666666666666,0.8055555555555556,0.5833333333333333,0.6666666666666666,0.5773502691896257,XGBoost,461,0.737,283,2.0,1.0,1.0,1.0,0.6667,0.5
5,3,2,0.6123724356957946,1.0,1.0,0.75,0.8571428571428571,0.7071067811865476,CatBoost,461,0.818,283,3.0,1.0,1.0,0.0,1.0,0.5
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,467,0.492,288,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,467,0.443,288,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,467,0.737,288,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,467,0.818,288,,,,,,
18,1,17,0.24253562503633297,0.9411764705882353,0.5,0.7647058823529411,0.2,0.7276068751089989,RandomForest,468,0.492,290,1.0,9.0,8.0,0.0,1.0,0.5294
18,1,17,0.2711630722733202,0.7647058823529411,0.2,0.7941176470588236,0.2222222222222222,0.7669649888473704,LightGBM,468,0.443,290,1.0,10.0,7.0,0.0,1.0,0.5882
18,1,17,0.2711630722733202,0.9411764705882353,0.5,0.7941176470588236,0.2222222222222222,0.7669649888473704,XGBoost,468,0.737,290,1.0,10.0,7.0,0.0,1.0,0.5882
18,1,17,0.39107694443752145,1.0,1.0,0.8823529411764706,0.3333333333333333,0.8744746321952062,CatBoost,468,0.818,290,1.0,13.0,4.0,0.0,1.0,0.7647
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,469,0.492,308,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,469,0.443,308,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,469,0.361,308,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,469,0.818,308,,,,,,
22,2,20,0.0,0.625,0.3125,0.5,0.0,0.0,RandomForest,470,0.492,309,0.0,20.0,0.0,2.0,0.0,1.0
22,2,20,0.0,0.875,0.3666666666666667,0.5,0.0,0.0,LightGBM,470,0.443,309,0.0,20.0,0.0,2.0,0.0,1.0
22,2,20,0.0,0.675,0.19090909090909092,0.5,0.0,0.0,XGBoost,470,0.361,309,0.0,20.0,0.0,2.0,0.0,1.0
22,2,20,0.0,0.625,0.19642857142857142,0.5,0.0,0.0,CatBoost,470,0.818,309,0.0,20.0,0.0,2.0,0.0,1.0
3,1,2,-0.5,0.5,0.5,0.25,0.0,0.0,RandomForest,474,0.492,331,0.0,1.0,1.0,1.0,0.0,0.5
3,1,2,-0.5,0.0,0.3333333333333333,0.25,0.0,0.0,LightGBM,474,0.443,331,0.0,1.0,1.0,1.0,0.0,0.5
3,1,2,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,XGBoost,474,0.524,331,0.0,2.0,0.0,1.0,0.0,1.0
3,1,2,0.0,0.0,0.3333333333333333,0.5,0.0,0.0,CatBoost,474,0.818,331,0.0,2.0,0.0,1.0,0.0,1.0
77,1,76,0.2969139517382807,0.9736842105263158,0.3333333333333333,0.9407894736842105,0.18181818181818182,0.9389243565742775,RandomForest,475,0.361,334,1.0,67.0,9.0,0.0,1.0,0.8816
77,1,76,0.3627381250550058,0.9473684210526315,0.2,0.9605263157894737,0.25,0.9597148699373931,LightGBM,475,0.508,334,1.0,70.0,6.0,0.0,1.0,0.9211
77,1,76,0.3945906161909643,0.9473684210526316,0.2,0.9671052631578947,0.2857142857142857,0.9665456669582609,XGBoost,475,0.524,334,1.0,71.0,5.0,0.0,1.0,0.9342
77,1,76,0.4900322223562124,0.9605263157894737,0.25,0.9802631578947368,0.4,0.9800644447124248,CatBoost,475,0.818,334,1.0,73.0,3.0,0.0,1.0,0.9605
23,3,20,0.23333333333333334,0.9,0.4777777777777778,0.6166666666666667,0.3333333333333333,0.5477225575051661,RandomForest,476,0.361,411,1.0,18.0,2.0,2.0,0.3333,0.9
23,3,20,0.0,0.8666666666666666,0.41111111111111115,0.5,0.0,0.0,LightGBM,476,0.9,411,0.0,20.0,0.0,3.0,0.0,1.0
23,3,20,0.0,0.9166666666666667,0.5333333333333333,0.5,0.0,0.0,XGBoost,476,0.524,411,0.0,20.0,0.0,3.0,0.0,1.0
23,3,20,0.0,0.9500000000000001,0.7555555555555555,0.5,0.0,0.0,CatBoost,476,0.818,411,0.0,20.0,0.0,3.0,0.0,1.0
26,0,26,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,477,0.345,434,,,,,,
26,0,26,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,477,0.867,434,,,,,,
26,0,26,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,477,0.361,434,,,,,,
26,0,26,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,477,0.802,434,,,,,,
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,479,0.345,460,,,,,,
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,479,0.867,460,,,,,,
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,479,0.361,460,,,,,,
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,479,0.867,460,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,483,0.345,462,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,483,0.867,462,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,483,0.361,462,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,483,0.867,462,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,489,0.345,463,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,489,0.867,463,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,489,0.361,463,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,489,0.867,463,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,492,0.345,465,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,492,0.867,465,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,492,0.361,465,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,492,0.867,465,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,493,0.345,466,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,493,0.867,466,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,493,0.361,466,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,493,0.769,466,,,,,,
3,3,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,523,0.345,467,,,,,,
3,3,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,523,0.737,467,,,,,,
3,3,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,523,0.361,467,,,,,,
3,3,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,523,0.737,467,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,525,0.345,470,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,525,0.737,470,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,525,0.361,470,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,525,0.737,470,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,526,0.345,471,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,526,0.1,471,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,526,0.361,471,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,526,0.1,471,,,,,,
5,2,3,0.4082482904638631,0.6666666666666667,0.75,0.6666666666666666,0.6666666666666666,0.5773502691896257,RandomForest,529,0.345,473,2.0,1.0,2.0,0.0,1.0,0.3333
5,2,3,0.4082482904638631,0.6666666666666667,0.5833333333333333,0.6666666666666666,0.6666666666666666,0.5773502691896257,LightGBM,529,0.1,473,2.0,1.0,2.0,0.0,1.0,0.3333
5,2,3,0.4082482904638631,0.8333333333333334,0.8333333333333333,0.6666666666666666,0.6666666666666666,0.5773502691896257,XGBoost,529,0.361,473,2.0,1.0,2.0,0.0,1.0,0.3333
5,2,3,-0.16666666666666666,0.6666666666666667,0.75,0.41666666666666663,0.4,0.408248290463863,CatBoost,529,0.867,473,1.0,1.0,2.0,1.0,0.5,0.3333
4,3,1,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5773502691896257,RandomForest,536,0.345,478,1.0,1.0,0.0,2.0,0.3333,1.0
4,3,1,0.0,1.0,1.0,0.5,0.0,0.0,LightGBM,536,0.1,478,0.0,1.0,0.0,3.0,0.0,1.0
4,3,1,0.0,0.6666666666666666,0.9166666666666665,0.5,0.0,0.0,XGBoost,536,0.361,478,0.0,1.0,0.0,3.0,0.0,1.0
4,3,1,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5773502691896257,CatBoost,536,0.1,478,1.0,1.0,0.0,2.0,0.3333,1.0
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,544,0.345,482,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,544,0.1,482,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,544,0.361,482,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,544,0.1,482,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,557,0.345,483,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,557,0.1,483,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,557,0.361,483,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,557,0.1,483,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,568,0.345,484,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,568,0.1,484,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,568,0.361,484,,,,,,
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,568,0.1,484,,,,,,
1,1,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,571,0.345,486,,,,,,
