n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size
11,1,10,1.0,1.0,1.0,1.0,1.0,1.0,XGBoost,287,0.704,303
11,1,10,1.0,1.0,1.0,1.0,1.0,1.0,CatBoost,287,0.28,303
20,0,20,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,289,0.182,314
20,0,20,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,289,0.296,314
20,0,20,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,289,0.704,314
20,0,20,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,289,0.28,314
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,294,0.182,334
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,294,0.296,334
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,294,0.704,334
7,0,7,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,294,0.165,334
14,1,13,-0.2773500981126146,0.15384615384615385,0.08333333333333333,0.23076923076923078,0.0,0.0,RandomForest,295,0.182,341
14,1,13,1.0,1.0,1.0,1.0,1.0,1.0,LightGBM,295,0.296,341
14,1,13,0.0,1.0,1.0,0.5,0.0,0.0,XGBoost,295,0.704,341
14,1,13,-0.07692307692307693,0.7692307692307693,0.25,0.46153846153846156,0.0,0.0,CatBoost,295,0.312,341
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,296,0.671,355
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,296,0.296,355
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,296,0.704,355
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,CatBoost,296,0.606,355
27,0,27,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,298,0.182,357
27,0,27,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,298,0.296,357
27,0,27,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,298,0.704,357
27,0,27,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,298,0.1,357
86,0,86,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,302,0.116,384
86,0,86,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,302,0.296,384
86,0,86,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,302,0.704,384
86,0,86,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,302,0.1,384
7,1,6,0.0,1.0,1.0,0.5,0.0,0.0,RandomForest,304,0.753,470
7,1,6,0.0,1.0,1.0,0.5,0.0,0.0,LightGBM,304,0.851,470
7,1,6,0.0,1.0,1.0,0.5,0.0,0.0,XGBoost,304,0.867,470
7,1,6,0.0,1.0,1.0,0.5,0.0,0.0,CatBoost,304,0.867,470
14,2,12,0.7817359599705717,0.9583333333333334,0.8333333333333333,0.9583333333333333,0.8,0.9574271077563381,RandomForest,308,0.116,477
14,2,12,0.0,0.9583333333333333,0.8333333333333333,0.5,0.0,0.0,LightGBM,308,0.851,477
14,2,12,0.0,0.9166666666666666,0.5833333333333333,0.5,0.0,0.0,XGBoost,308,0.116,477
14,2,12,0.0,0.9583333333333333,0.8333333333333333,0.5,0.0,0.0,CatBoost,308,0.867,477
7,1,6,0.0,1.0,1.0,0.5,0.25,0.0,RandomForest,309,0.116,491
7,1,6,0.3535533905932738,1.0,1.0,0.75,0.4,0.7071067811865476,LightGBM,309,0.851,491
7,1,6,0.2581988897471611,0.8333333333333334,0.5,0.6666666666666666,0.3333333333333333,0.5773502691896257,XGBoost,309,0.116,491
7,1,6,-0.16666666666666666,0.6666666666666667,0.3333333333333333,0.4166666666666667,0.0,0.0,CatBoost,309,0.867,491
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,RandomForest,310,0.753,498
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,LightGBM,310,0.851,498
2,2,0,0.0,0.5,1.0,0.5,0.0,0.0,XGBoost,310,0.9,498
