n,n_pos,n_neg,mcc,balanced_acc,f1,auc_roc,pr_auc,TP,TN,FP,FN,sensitivity,specificity,gmean,model,revision,threshold,train_size
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,400,0.41,162
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,400,0.378,162
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,402,0.378,164
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,402,0.182,164
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,402,0.41,164
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,402,0.786,164
3,3,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,417,0.378,165
3,3,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,417,0.182,165
3,3,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,417,0.41,165
3,3,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,417,0.786,165
3,3,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,420,0.378,168
3,3,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,420,0.182,168
3,3,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,420,0.41,168
3,3,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,420,0.786,168
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,423,0.524,171
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,423,0.182,171
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,423,0.508,171
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,423,0.786,171
3,3,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,424,0.524,172
3,3,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,424,0.182,172
3,3,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,424,0.508,172
3,3,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,424,0.378,172
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,425,0.524,175
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,425,0.182,175
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,425,0.508,175
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,425,0.786,175
103,96,7,0.3254270698294439,0.8177083333333333,0.7770700636942676,0.8497023809523808,0.9887169911715243,61,7,0,35,0.6354,1.0,0.7971302695712079,RandomForest,443,0.524,176
103,96,7,0.2949413859879067,0.7775297619047619,0.8170731707317073,0.7886904761904763,0.9833835430251783,67,6,1,29,0.6979,0.8571,0.773443136703847,LightGBM,443,0.182,176
103,96,7,0.31268933658204784,0.8072916666666667,0.7612903225806451,0.8898809523809523,0.9922710110816908,59,7,0,37,0.6146,1.0,0.7839536550927825,XGBoost,443,0.508,176
103,96,7,0.2834733547569204,0.78125,0.72,0.7782738095238095,0.9825405604408569,54,7,0,42,0.5625,1.0,0.75,CatBoost,443,0.786,176
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,455,0.165,279
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,455,0.296,279
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,455,0.1,279
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,455,0.165,279
5,0,5,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,461,0.165,280
5,0,5,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,461,0.296,280
5,0,5,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,461,0.1,280
5,0,5,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,461,0.165,280
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,467,0.165,285
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,467,0.296,285
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,467,0.867,285
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,467,0.165,285
17,12,5,-0.1613743060919757,0.4583333333333333,0.7857142857142857,0.6499999999999999,0.8443995274877627,11,0,5,1,0.9167,0.0,0.0,RandomForest,468,0.165,287
17,12,5,0.34993385618385614,0.6916666666666667,0.7,0.7166666666666667,0.8909000721500722,7,4,1,5,0.5833,0.8,0.6831300510639733,LightGBM,468,0.296,287
17,12,5,0.0,0.5,0.0,0.8166666666666667,0.9103086183968536,0,5,0,12,0.0,1.0,0.0,XGBoost,468,0.867,287
17,12,5,0.43333333333333335,0.7166666666666667,0.8333333333333334,0.7833333333333333,0.8840980778480778,10,3,2,2,0.8333,0.6,0.7071067811865476,CatBoost,468,0.165,287
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,469,0.345,304
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,469,0.41,304
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,469,0.263,304
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,469,0.165,304
22,14,8,0.4183300132670378,0.625,0.8235294117647058,0.8392857142857143,0.9334586466165413,14,2,6,0,1.0,0.25,0.5,RandomForest,470,0.476,305
22,14,8,0.28867513459481287,0.5625,0.8,0.7053571428571428,0.8556776556776555,14,1,7,0,1.0,0.125,0.3535533905932738,LightGBM,470,0.296,305
22,14,8,0.28867513459481287,0.5625,0.8,0.9375,0.9683473389355742,14,1,7,0,1.0,0.125,0.3535533905932738,XGBoost,470,0.263,305
22,14,8,0.28867513459481287,0.5625,0.8,0.5535714285714286,0.7660648874934589,14,1,7,0,1.0,0.125,0.3535533905932738,CatBoost,470,0.263,305
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,474,0.753,327
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,474,0.165,327
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,474,0.639,327
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,474,0.263,327
77,66,11,0.4591125283909057,0.8257575757575757,0.7889908256880734,0.9655647382920111,0.9933931080643565,43,11,0,23,0.6515,1.0,0.8071648849616486,RandomForest,475,0.753,330
77,66,11,0.4760424844017916,0.7878787878787878,0.896,0.8305785123966942,0.9645415458332472,56,8,3,10,0.8485,0.7273,0.7855443270797406,LightGBM,475,0.165,330
77,66,11,0.4216277813128003,0.7954545454545454,0.8035714285714286,0.9077134986225895,0.9837802134128321,45,10,1,21,0.6818,0.9091,0.7872958216222169,XGBoost,475,0.639,330
77,66,11,0.4985272427507908,0.7954545454545454,0.9047619047619048,0.9214876033057852,0.986694927290021,57,8,3,9,0.8636,0.7273,0.7925270806437589,CatBoost,475,0.296,330
23,13,10,0.5231483637805969,0.7,0.8125,0.9230769230769231,0.9529914529914527,13,4,6,0,1.0,0.4,0.6324555320336759,RandomForest,476,0.378,407
23,13,10,0.5231483637805969,0.7,0.8125,0.8538461538461539,0.9029248529248526,13,4,6,0,1.0,0.4,0.6324555320336759,LightGBM,476,0.1,407
23,13,10,0.35186577527449836,0.6,0.7647058823529411,0.9692307692307692,0.9751850713389174,13,2,8,0,1.0,0.2,0.4472135954999579,XGBoost,476,0.116,407
23,13,10,0.5231483637805969,0.7,0.8125,0.8769230769230769,0.8141978559399373,13,4,6,0,1.0,0.4,0.6324555320336759,CatBoost,476,0.606,407
26,18,8,0.5417363388859614,0.6875,0.8780487804878049,0.9097222222222222,0.9590759095661057,18,3,5,0,1.0,0.375,0.6123724356957945,RandomForest,477,0.329,430
26,18,8,0.42600643361512924,0.6944444444444444,0.8421052631578947,0.8333333333333333,0.8444035675653323,16,4,4,2,0.8889,0.5,0.6666666666666666,LightGBM,477,0.1,430
26,18,8,0.5204800389058843,0.7222222222222222,0.8717948717948718,0.8611111111111112,0.9307977062879025,17,4,4,1,0.9444,0.5,0.6871842709362768,XGBoost,477,0.296,430
26,18,8,0.30903502310036884,0.6319444444444444,0.8205128205128205,0.8611111111111112,0.9282578104775463,16,3,5,2,0.8889,0.375,0.5773502691896257,CatBoost,477,0.149,430
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,479,0.476,456
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,479,0.72,456
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,479,0.231,456
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,479,0.492,456
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,483,0.476,458
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,483,0.72,458
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,483,0.231,458
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,483,0.492,458
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,489,0.476,459
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,489,0.72,459
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,489,0.231,459
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,489,0.492,459
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,492,0.476,461
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,492,0.72,461
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,492,0.231,461
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,492,0.492,461
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,493,0.476,462
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,493,0.72,462
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,493,0.231,462
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,493,0.492,462
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,523,0.476,463
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,LightGBM,523,0.818,463
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,XGBoost,523,0.231,463
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,CatBoost,523,0.671,463
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,525,0.476,466
