revision,gcid1,gcid2,classId,sameFile,same_folder,file_distance,distance_bucket,dep_label,depth,similarity,filepath1,filepath2,folder1,folder2
156,16,27,1,0,1,1,1,0,1,70,ruby.c,,,
156,16,28,1,0,1,1,1,0,1,70,ruby.c,,,
156,16,29,1,0,1,1,1,0,1,70,ruby.c,,,
156,16,30,1,0,1,1,1,0,1,70,ruby.c,,,
156,16,154,1,0,1,1,1,0,1,70,ruby.c,,,
156,16,174,1,0,1,1,1,0,1,70,ruby.c,,,
156,31,35,9,0,1,1,1,0,1,100,,ruby.c,,
156,31,176,9,0,1,1,1,0,1,100,,ruby.c,,
156,32,35,9,0,1,1,1,0,1,100,,ruby.c,,
156,32,176,9,0,1,1,1,0,1,100,,ruby.c,,
156,35,37,9,0,1,1,1,0,1,72,ruby.c,,,
156,35,176,9,1,1,0,0 (same dir),1,0,72,ruby.c,ruby.c,,
156,37,176,9,0,1,1,1,0,1,72,,ruby.c,,
161,180,181,16,0,1,1,1,0,1,75,python.c,,,
163,180,181,16,0,1,1,1,0,1,75,,options.c,,
163,85,86,38,0,1,1,1,0,1,71,,options.c,,
163,85,87,38,0,1,1,1,0,1,71,,readtags.c,,
163,85,88,38,0,1,1,1,0,1,71,,readtags.c,,
163,85,117,38,0,1,1,1,0,1,71,,options.c,,
163,86,87,38,0,1,1,1,1,1,71,options.c,readtags.c,,
163,86,88,38,0,1,1,1,1,1,71,options.c,readtags.c,,
163,86,116,38,1,1,0,0 (same dir),0,0,71,options.c,,,
163,86,117,38,1,1,0,0 (same dir),1,0,71,options.c,options.c,,
163,87,88,38,1,1,0,0 (same dir),1,0,71,readtags.c,readtags.c,,
163,87,116,38,0,1,1,1,0,1,71,readtags.c,,,
163,87,117,38,0,1,1,1,1,1,71,readtags.c,options.c,,
163,88,116,38,0,1,1,1,0,1,71,readtags.c,,,
163,88,117,38,0,1,1,1,1,1,71,readtags.c,options.c,,
163,116,117,38,1,1,0,0 (same dir),0,0,71,,options.c,,
163,118,119,91,1,1,0,0 (same dir),1,0,75,options.c,options.c,,
163,124,125,94,1,1,0,0 (same dir),1,0,91,options.c,options.c,,
163,149,155,105,0,1,1,1,1,1,83,readtags.c,routines.c,,
163,149,156,105,0,1,1,1,0,1,83,readtags.c,,,
163,155,156,105,1,1,0,0 (same dir),0,0,83,routines.c,,,
163,110,111,106,0,1,1,1,0,1,75,readtags.c,,,
163,150,151,107,1,1,0,0 (same dir),1,0,100,readtags.c,readtags.c,,
163,136,139,109,1,1,0,0 (same dir),0,0,83,readtags.c,,,
163,152,153,110,1,1,0,0 (same dir),1,0,80,readtags.c,readtags.c,,
163,94,159,112,0,1,1,1,0,1,75,,routines.c,,
163,95,159,112,0,1,1,1,0,1,75,,routines.c,,
163,160,161,113,1,1,0,0 (same dir),1,0,100,routines.c,routines.c,,
163,182,183,116,1,1,0,0 (same dir),1,0,100,sort.c,sort.c,,
187,10,30,1,0,1,1,1,0,1,70,,options.c,,
187,11,30,1,0,1,1,1,0,1,70,,options.c,,
187,13,30,1,0,1,1,1,0,1,70,,options.c,,
187,15,30,1,0,1,1,1,0,1,70,,options.c,,
187,16,30,1,0,1,1,1,0,1,70,,options.c,,
187,17,30,1,0,1,1,1,0,1,70,,options.c,,
187,20,30,1,0,1,1,1,0,1,70,,options.c,,
187,22,30,1,0,1,1,1,0,1,70,,options.c,,
187,24,30,1,0,1,1,1,0,1,70,,options.c,,
187,25,30,1,0,1,1,1,0,1,70,,options.c,,
187,26,30,1,0,1,1,1,0,1,70,,options.c,,
187,27,30,1,0,1,1,1,0,1,70,,options.c,,
187,28,30,1,0,1,1,1,0,1,70,,options.c,,
187,29,30,1,0,1,1,1,0,1,70,,options.c,,
187,30,154,1,0,1,1,1,0,1,70,options.c,,,
187,30,174,1,0,1,1,1,0,1,70,options.c,,,
187,30,184,1,0,1,1,1,0,1,70,options.c,,,
187,6,7,4,0,1,1,1,0,1,83,,options.c,,
187,7,8,4,0,1,1,1,0,1,83,options.c,,,
187,180,181,16,0,1,1,1,0,1,75,,options.c,,
187,85,86,38,0,1,1,1,0,1,71,,options.c,,
187,85,116,38,0,1,1,1,0,1,71,,options.c,,
187,85,117,38,0,1,1,1,0,1,71,,options.c,,
187,86,87,38,0,1,1,1,0,1,71,options.c,,,
187,86,88,38,0,1,1,1,0,1,71,options.c,,,
187,86,116,38,1,1,0,0 (same dir),1,0,71,options.c,options.c,,
187,86,117,38,1,1,0,0 (same dir),1,0,71,options.c,options.c,,
187,87,116,38,0,1,1,1,0,1,71,,options.c,,
187,87,117,38,0,1,1,1,0,1,71,,options.c,,
187,88,116,38,0,1,1,1,0,1,71,,options.c,,
187,88,117,38,0,1,1,1,0,1,71,,options.c,,
187,116,117,38,1,1,0,0 (same dir),1,0,71,options.c,options.c,,
187,112,113,90,1,1,0,0 (same dir),0,0,100,options.c,,,
187,112,114,90,1,1,0,0 (same dir),0,0,100,options.c,,,
187,112,115,90,1,1,0,0 (same dir),0,0,100,options.c,,,
187,118,119,91,1,1,0,0 (same dir),1,0,75,options.c,options.c,,
188,72,73,29,1,1,0,0 (same dir),0,0,75,fortran.c,,,
190,85,87,38,0,1,1,1,0,1,71,,readtags.c,,
190,85,88,38,0,1,1,1,0,1,71,,readtags.c,,
190,86,87,38,0,1,1,1,0,1,71,,readtags.c,,
190,86,88,38,0,1,1,1,0,1,71,,readtags.c,,
