cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",79,81,3,0.7143,0,"SIMILARITY_PRESERVING","[334, 1076, 1262]","[96, 130, 302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]"
"Type3","Block",79,802,3,0.7143,0,"SIMILARITY_PRESERVING","[334, 1076, 1262]","[96, 130, 302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]"
"Type3","Block",80,81,3,0.6250,0,"SIMILARITY_PRESERVING","[334, 1076, 1262]","[96, 130, 302, 315, 334, 335, 1076, 1262]","[302, 315, 334, 1076, 1262]"
"Type3","Block",80,802,3,0.6250,0,"SIMILARITY_PRESERVING","[334, 1076, 1262]","[96, 130, 302, 315, 334, 335, 1076, 1262]","[302, 315, 334, 1076, 1262]"
"Type3","Block",81,802,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]","[302, 315, 334, 1076, 1262]"
"Type3","Block",3080,3083,1,1.0000,0,"SIMILARITY_PRESERVING","[2673]","[2673]","[2673]"
"Type3","Block",83,804,7,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 334, 360, 482, 1076, 1262]","[302, 315, 334, 360, 482, 1076, 1262]","[302, 315, 334, 360, 482, 1076, 1262]"
"Type3","Block",844,845,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",2948,2949,1,0.1111,0,"SIMILARITY_PRESERVING","[2661]","[2649, 2650, 2661, 2681, 2697, 2720, 2736, 2782]","[2460, 2661]"
"Type3","Block",84,85,5,0.7143,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 496, 498, 731, 984]"
"Type3","Block",84,86,5,0.8333,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]","[136, 302, 315, 324, 498, 731]"
"Type3","Block",84,87,4,0.5714,0,"SIMILARITY_PRESERVING","[302, 315, 498, 731]","[302, 315, 324, 498, 731]","[81, 302, 315, 335, 498, 731]"
"Type3","Block",84,88,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",84,89,4,0.8000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 731]"
"Type3","Block",84,90,4,0.6667,1,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 496, 731]"
"Type3","Block",84,807,5,1.0000,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",85,86,5,0.6250,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 496, 498, 731, 984]","[136, 302, 315, 324, 498, 731]"
"Type3","Block",85,87,4,0.4444,1,"SIMILARITY_PRESERVING","[302, 315, 498, 731]","[302, 315, 324, 496, 498, 731, 984]","[81, 302, 315, 335, 498, 731]"
"Type3","Block",85,88,5,0.7143,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 496, 498, 731, 984]","[302, 315, 324, 498, 731]"
"Type3","Block",85,89,4,0.5714,0,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[302, 315, 324, 496, 498, 731, 984]","[302, 315, 324, 731]"
"Type3","Block",85,90,5,0.7143,0,"SIMILARITY_PRESERVING","[302, 315, 324, 496, 731]","[302, 315, 324, 496, 498, 731, 984]","[302, 315, 324, 496, 731]"
"Type3","Block",85,807,5,0.7143,1,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[302, 315, 324, 496, 498, 731, 984]","[302, 315, 324, 498, 731]"
"Type3","Block",86,87,4,0.5000,0,"SIMILARITY_PRESERVING","[302, 315, 498, 731]","[136, 302, 315, 324, 498, 731]","[81, 302, 315, 335, 498, 731]"
"Type3","Block",86,88,5,0.8333,0,"SIMILARITY_PRESERVING","[302, 315, 324, 498, 731]","[136, 302, 315, 324, 498, 731]","[302, 315, 324, 498, 731]"
"Type3","Block",86,89,4,0.6667,0,"SIMILARITY_PRESERVING","[302, 315, 324, 731]","[136, 302, 315, 324, 498, 731]","[302, 315, 324, 731]"
