revision,gcid1,gcid2,classId,similarity,classSize,sim_bucket,class_bucket,sameFile,depth,dep_label
1167,1119,1187,39,75,13,71-80,11-20,0,1,0
1167,1177,1187,39,75,13,71-80,11-20,0,1,0
1167,1188,1189,45,83,21,81-90,21+,1,0,0
1169,742,750,20,72,15,71-80,11-20,0,1,0
1169,742,1108,20,72,15,71-80,11-20,0,4,0
1169,742,1181,20,72,15,71-80,11-20,0,4,0
1171,742,1181,20,72,15,71-80,11-20,0,4,0
1171,750,1181,20,72,15,71-80,11-20,0,4,0
1171,1108,1181,20,72,15,71-80,11-20,0,1,0
1172,742,1108,20,72,15,71-80,11-20,0,4,0
1172,750,1108,20,72,15,71-80,11-20,0,4,0
1172,1108,1181,20,72,15,71-80,11-20,0,1,0
1175,1021,1121,9,71,19,71-80,11-20,0,1,0
1175,1030,1121,9,71,19,71-80,11-20,0,1,0
1175,1068,1121,9,71,19,71-80,11-20,0,1,0
1175,1069,1121,9,71,19,71-80,11-20,0,1,0
1175,1097,1121,9,71,19,71-80,11-20,0,1,0
1175,1121,1165,9,71,19,71-80,11-20,0,1,0
1175,1121,1166,9,71,19,71-80,11-20,0,1,0
1177,742,1181,20,72,15,71-80,11-20,0,4,0
1177,750,1181,20,72,15,71-80,11-20,0,4,0
1177,1108,1181,20,72,15,71-80,11-20,0,1,0
1178,839,1184,3,70,39,<=70,21+,0,1,0
1178,841,1184,3,70,39,<=70,21+,0,4,0
1178,1046,1184,3,70,39,<=70,21+,0,1,0
1178,1050,1184,3,75,39,71-80,21+,0,1,0
1178,1056,1184,3,70,39,<=70,21+,0,1,0
1178,1072,1184,3,75,39,71-80,21+,0,1,0
1178,1087,1184,3,75,39,71-80,21+,0,3,0
1178,1173,1184,3,70,39,<=70,21+,0,1,0
1178,505,580,13,70,10,<=70,6-10,0,4,0
1178,580,1096,13,70,10,<=70,6-10,0,1,0
1178,580,1176,13,70,10,<=70,6-10,0,1,0
1178,578,742,20,72,15,71-80,11-20,0,4,0
1178,578,750,20,72,15,71-80,11-20,0,4,0
1178,578,1108,20,72,15,71-80,11-20,0,1,0
1178,578,1181,20,72,15,71-80,11-20,0,1,0
1178,455,585,21,70,19,<=70,11-20,0,4,0
1178,468,585,21,70,19,<=70,11-20,0,1,0
1178,585,1082,21,70,19,<=70,11-20,0,1,0
1178,585,1094,21,70,19,<=70,11-20,0,1,0
1178,585,1175,21,70,19,<=70,11-20,0,1,0
1179,44,1031,2,70,10,<=70,6-10,0,1,0
1179,44,1071,2,70,10,<=70,6-10,0,3,0
1181,578,750,20,72,15,71-80,11-20,0,4,0
1181,742,750,20,72,15,71-80,11-20,0,1,0
