globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd | package_name | class_name
637 | Revision_332/Jmol/src/org/openscience/jmol/PovrayDialog.java | 170 | 178 | 79 | 906 | PovrayDialog | public PovrayDialog(JFrame f, DisplayPanel dp, ChemFile cf, String bn) | 83 | 268 | org.openscience.jmol | PovrayDialog
638 | Revision_332/Jmol/src/org/openscience/jmol/PovrayDialog.java | 190 | 198 | 79 | 906 | PovrayDialog | public PovrayDialog(JFrame f, DisplayPanel dp, ChemFile cf, String bn) | 83 | 268 | org.openscience.jmol | PovrayDialog
204 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 374 | 379 | 80 | 181 | buildDispPanel | public JPanel buildDispPanel() | 281 | 389 | org.openscience.jmol | Preferences
205 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 1018 | 1024 | 80 | 184 | buildVibratePanel | public JPanel buildVibratePanel() | 909 | 1031 | org.openscience.jmol | Preferences
215 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 413 | 420 | 81 | 178 | buildAtomsPanel | public JPanel buildAtomsPanel() | 391 | 505 | org.openscience.jmol | Preferences
213 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 529 | 536 | 81 | 179 | buildBondPanel | public JPanel buildBondPanel() | 507 | 680 | org.openscience.jmol | Preferences
212 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 437 | 444 | 81 | 178 | buildAtomsPanel | public JPanel buildAtomsPanel() | 391 | 505 | org.openscience.jmol | Preferences
220 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 722 | 730 | 82 | 183 | buildVectorsPanel | public JPanel buildVectorsPanel() | 682 | 778 | org.openscience.jmol | Preferences
221 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 764 | 772 | 82 | 183 | buildVectorsPanel | public JPanel buildVectorsPanel() | 682 | 778 | org.openscience.jmol | Preferences
231 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 793 | 804 | 83 | 180 | buildColorsPanel | public JPanel buildColorsPanel() | 780 | 907 | org.openscience.jmol | Preferences
234 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 890 | 900 | 83 | 180 | buildColorsPanel | public JPanel buildColorsPanel() | 780 | 907 | org.openscience.jmol | Preferences
272 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 818 | 828 | 84 | 180 | buildColorsPanel | public JPanel buildColorsPanel() | 780 | 907 | org.openscience.jmol | Preferences
232 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 842 | 852 | 84 | 180 | buildColorsPanel | public JPanel buildColorsPanel() | 780 | 907 | org.openscience.jmol | Preferences
233 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 866 | 876 | 84 | 180 | buildColorsPanel | public JPanel buildColorsPanel() | 780 | 907 | org.openscience.jmol | Preferences
527 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 952 | 959 | 85 | 184 | buildVibratePanel | public JPanel buildVibratePanel() | 909 | 1031 | org.openscience.jmol | Preferences
526 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 995 | 1001 | 85 | 184 | buildVibratePanel | public JPanel buildVibratePanel() | 909 | 1031 | org.openscience.jmol | Preferences
241 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 1239 | 1243 | 86 | NULL | NULL | NULL | NULL | NULL |  | 
551 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 1260 | 1264 | 86 | NULL | NULL | NULL | NULL | NULL |  | 
245 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 1248 | 1252 | 86 | NULL | NULL | NULL | NULL | NULL |  | 
242 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 1252 | 1256 | 86 | NULL | NULL | NULL | NULL | NULL |  | 
551 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 1256 | 1260 | 86 | NULL | NULL | NULL | NULL | NULL |  | 
251 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 1283 | 1288 | 87 | NULL | NULL | NULL | NULL | NULL |  | 
252 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 1303 | 1308 | 87 | NULL | NULL | NULL | NULL | NULL |  | 
253 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 1288 | 1293 | 88 | NULL | NULL | NULL | NULL | NULL |  | 
254 | Revision_332/Jmol/src/org/openscience/jmol/Preferences.java | 1308 | 1313 | 88 | NULL | NULL | NULL | NULL | NULL |  | 
495 | Revision_332/Jmol/src/org/openscience/jmol/PropertyGraph.java | 217 | 222 | 89 | 246 | getAction | public Action getAction(String cmd) | 217 | 222 | org.openscience.jmol | PropertyGraph
496 | Revision_332/Jmol/src/org/openscience/jmol/Vibrate.java | 585 | 590 | 89 | 246 | getAction | public Action getAction(String cmd) | 585 | 590 | org.openscience.jmol | Vibrate
497 | Revision_332/Jmol/src/org/openscience/jmol/PropertyGraph.java | 237 | 246 | 90 | 219 | disableConflictingActions | private void disableConflictingActions() | 237 | 246 | org.openscience.jmol | PropertyGraph
498 | Revision_332/Jmol/src/org/openscience/jmol/Vibrate.java | 605 | 614 | 90 | 219 | disableConflictingActions | private void disableConflictingActions() | 605 | 614 | org.openscience.jmol | Vibrate
499 | Revision_332/Jmol/src/org/openscience/jmol/PropertyGraph.java | 251 | 263 | 91 | 451 | restoreConflictingActions | private void restoreConflictingActions() | 251 | 263 | org.openscience.jmol | PropertyGraph
500 | Revision_332/Jmol/src/org/openscience/jmol/Vibrate.java | 619 | 631 | 91 | 451 | restoreConflictingActions | private void restoreConflictingActions() | 619 | 631 | org.openscience.jmol | Vibrate
544 | Revision_332/Jmol/src/org/openscience/jmol/RasMolScriptHandler.java | 134 | 140 | 92 | 928 | handle | public void handle(String command) throws RasMolScriptException | 51 | 215 | org.openscience.jmol | RasMolScriptHandler
543 | Revision_332/Jmol/src/org/openscience/jmol/RasMolScriptHandler.java | 154 | 160 | 92 | 928 | handle | public void handle(String command) throws RasMolScriptException | 51 | 215 | org.openscience.jmol | RasMolScriptHandler
546 | Revision_332/Jmol/src/org/openscience/jmol/RasMolScriptHandler.java | 178 | 184 | 92 | 928 | handle | public void handle(String command) throws RasMolScriptException | 51 | 215 | org.openscience.jmol | RasMolScriptHandler
500 | Revision_332/Jmol/src/org/openscience/jmol/Vibrate.java | 481 | 487 | 93 | 157 | actionPerformed | public void actionPerformed(ActionEvent evt) | 434 | 520 | org.openscience.jmol | Vibrate
636 | Revision_332/Jmol/src/org/openscience/jmol/Vibrate.java | 487 | 493 | 93 | 157 | actionPerformed | public void actionPerformed(ActionEvent evt) | 434 | 520 | org.openscience.jmol | Vibrate
471 | Revision_332/Jmol/src/org/openscience/miniJmol/ChemFrame.java | 168 | 173 | 94 | 165 | addAtom | public void addAtom(BaseAtomType type, float x, float y, float z) | 159 | 176 | org.openscience.miniJmol | ChemFrame
472 | Revision_332/Jmol/src/org/openscience/miniJmol/ChemFrame.java | 485 | 490 | 94 | 441 | rebond | public void rebond() | 476 | 492 | org.openscience.miniJmol | ChemFrame
639 | Revision_332/Jmol/src/org/openscience/miniJmol/CMLReader.java | 129 | 138 | 95 | 1003 | fireFrameRead | private void fireFrameRead() | 129 | 138 | org.openscience.miniJmol | CMLReader
641 | Revision_332/Jmol/src/org/openscience/miniJmol/Gaussian98Reader.java | 246 | 255 | 95 | 1003 | fireFrameRead | private void fireFrameRead() | 246 | 255 | org.openscience.miniJmol | Gaussian98Reader
640 | Revision_332/Jmol/src/org/openscience/miniJmol/XYZReader.java | 213 | 222 | 95 | 1003 | fireFrameRead | private void fireFrameRead() | 213 | 222 | org.openscience.miniJmol | XYZReader
642 | Revision_332/Jmol/src/org/openscience/miniJmol/PDBReader.java | 148 | 157 | 95 | 1003 | fireFrameRead | private void fireFrameRead() | 148 | 157 | org.openscience.miniJmol | PDBReader
552 | Revision_332/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 182 | 187 | 96 | 378 | init | public void init() | 88 | 211 | org.openscience.miniJmol | JmolApplet
553 | Revision_332/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 192 | 197 | 96 | 378 | init | public void init() | 88 | 211 | org.openscience.miniJmol | JmolApplet
643 | Revision_332/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 506 | 511 | 97 | NULL | NULL | NULL | NULL | NULL |  | 
644 | Revision_332/Jmol/src/org/openscience/miniJmol/JmolApplet.java | 523 | 528 | 97 | 815 | setModelToRenderFromCMLString | public void setModelToRenderFromCMLString(String hugeCMLString) | 521 | 531 | org.openscience.miniJmol | JmolApplet
501 | Revision_332/Jmol/src/org/openscience/miniJmol/JMolCDO.java | 49 | 67 | 98 | 813 | startObject | public void startObject(String type) | 49 | 67 | org.openscience.miniJmol | JMolCDO
505 | Revision_332/Jmol/src/org/openscience/miniJmol/JMolCDO.java | 69 | 87 | 98 | 811 | endObject | public void endObject(String type) | 69 | 87 | org.openscience.miniJmol | JMolCDO
408 | Revision_332/Jmol/src/org/openscience/miniJmol/JmolSimpleBean.java | 343 | 359 | 99 | 714 | setBondRenderingStyle | public void setBondRenderingStyle(String style) | 343 | 359 | org.openscience.miniJmol | JmolSimpleBean
534 | Revision_332/Jmol/src/org/openscience/miniJmol/JmolSimpleBean.java | 383 | 399 | 99 | 728 | setLabelRenderingStyle | public void setLabelRenderingStyle(String style) | 383 | 399 | org.openscience.miniJmol | JmolSimpleBean
409 | Revision_332/Jmol/src/org/openscience/miniJmol/JmolSimpleBean.java | 365 | 377 | 100 | 670 | getBondRenderingStyleDescription | public String getBondRenderingStyleDescription() | 365 | 377 | org.openscience.miniJmol | JmolSimpleBean
410 | Revision_332/Jmol/src/org/openscience/miniJmol/JmolSimpleBean.java | 405 | 417 | 100 | 676 | getLabelRenderingStyleDescription | public String getLabelRenderingStyleDescription() | 405 | 417 | org.openscience.miniJmol | JmolSimpleBean
