pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors,weighted_coupling_strength,coupling_trend,last_co_change_age,last_solo_change_age,method_name1,method_signature1,method_name2,method_signature2
18135,Type3,Block,139,789,1673,120,1447,122,Still Active,2,53,0,0,0,100,jnamed.java,TokenizerTest.java,4,bwelling,bwelling,0.0000,0.0000,-1,2,generateReply,generateReply(Message query),test_getHex,public void test_getHex() throws IOException
18136,Type3,Block,139,1672,1673,1447,1447,Still Active,Still Active,53,53,0,0,0,96,TokenizerTest.java,TokenizerTest.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_getBase64,public void test_getBase64() throws IOException,test_getHex,public void test_getHex() throws IOException
18137,Type3,Block,140,1674,1675,1447,1447,Still Active,Still Active,53,53,0,0,0,75,base16Test.java,base16Test.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_toString_singleByte1,public void test_toString_singleByte1(),test_toString_singleByte3,public void test_toString_singleByte3()
18138,Type3,Block,140,1674,1676,1447,1447,Still Active,Still Active,53,53,0,0,0,75,base16Test.java,base16Test.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_toString_singleByte1,public void test_toString_singleByte1(),test_toString_singleByte2,public void test_toString_singleByte2()
18139,Type3,Block,140,1674,1677,1447,1447,Still Active,Still Active,53,53,0,0,0,75,base16Test.java,base64Test.java,1,bwelling,bwelling,0.0000,0.0000,-1,-1,test_toString_singleByte1,public void test_toString_singleByte1(),test_toString_empty,public void test_toString_empty()
18140,Type3,Block,140,1674,1678,1447,1447,Still Active,Still Active,53,53,0,0,0,75,base16Test.java,base16Test.java,0,bwelling,bwelling,0.0000,0.0000,-1,-1,test_toString_singleByte1,public void test_toString_singleByte1(),test_toString_array1,public void test_toString_array1()
18141,Type3,Block,140,1674,1679,1447,1447,Still Active,Still Active,53,53,0,0,0,75,base16Test.java,base64Test.java,1,bwelling,bwelling,0.0000,0.0000,-1,-1,test_toString_singleByte1,public void test_toString_singleByte1(),test_toString_basic5,public void test_toString_basic5()
18142,Type3,Block,140,1674,1680,1447,1447,Still Active,Still Active,53,53,0,0,0,75,base16Test.java,base64Test.java,1,bwelling,bwelling,0.0000,0.0000,-1,-1,test_toString_singleByte1,public void test_toString_singleByte1(),test_toString_basic1,public void test_toString_basic1()
18143,Type3,Block,140,1674,1681,1447,1447,Still Active,Still Active,53,53,0,0,0,75,base16Test.java,base64Test.java,1,bwelling,bwelling,0.0000,0.0000,-1,-1,test_toString_singleByte1,public void test_toString_singleByte1(),test_toString_basic6,public void test_toString_basic6()
18144,Type3,Block,140,1674,1682,1447,1447,Still Active,Still Active,53,53,0,0,0,75,base16Test.java,base64Test.java,1,bwelling,bwelling,0.0000,0.0000,-1,-1,test_toString_singleByte1,public void test_toString_singleByte1(),test_toString_basic2,public void test_toString_basic2()
18145,Type3,Block,140,1674,1683,1447,1447,Still Active,Still Active,53,53,0,0,0,75,base16Test.java,base64Test.java,1,bwelling,bwelling,0.0000,0.0000,-1,-1,test_toString_singleByte1,public void test_toString_singleByte1(),test_toString_basic4,public void test_toString_basic4()
18146,Type3,Block,140,1674,1684,1447,1447,Still Active,Still Active,53,53,0,0,0,75,base16Test.java,base64Test.java,1,bwelling,bwelling,0.0000,0.0000,-1,-1,test_toString_singleByte1,public void test_toString_singleByte1(),test_toString_basic3,public void test_toString_basic3()
18147,Type3,Block,140,1674,1685,1447,1447,Still Active,Still Active,53,53,0,0,0,75,base16Test.java,base64Test.java,1,bwelling,bwelling,0.0000,0.0000,-1,-1,test_toString_singleByte1,public void test_toString_singleByte1(),test_formatString_sameLengthWithPrefix,public void test_formatString_sameLengthWithPrefix()
18148,Type3,Block,140,1674,1686,1447,1447,Still Active,Still Active,53,53,0,0,0,75,base16Test.java,base64Test.java,1,bwelling,bwelling,0.0000,0.0000,-1,-1,test_toString_singleByte1,public void test_toString_singleByte1(),test_formatString_sameLength,public void test_formatString_sameLength()
