globalCloneId | filePath | StartLine | EndLine | classId | globalMethodId | method_name | method_signature | methodStart | methodEnd
266 | Revision_700/routines.c | 453 | 459 | 8 | 755 | eStatFree | extern void eStatFree (fileStatus *status) | 452 | 459
486 | Revision_700/sql.c | 1683 | 1692 | 8 | 731 | parseTrigger | static void parseTrigger (tokenInfo *const token) | 1626 | 1698
80 | Revision_700/c.c | 2171 | 2175 | 8 | 45 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) | 2032 | 2475
76 | Revision_700/c.c | 790 | 794 | 8 | 224 | initStatement | static void initStatement (statementInfo *const st, statementInfo *const parent) | 789 | 794
87 | Revision_700/readtags.c | 144 | 148 | 8 | 211 | growString | static int growString (vstring *s) | 125 | 150
417 | Revision_700/jscript.c | 1423 | 1427 | 8 | 846 | parseStatement | static boolean parseStatement (tokenInfo *const token, boolean is_inside_class) | 1026 | 1457
693 | Revision_700/tex.c | 439 | 443 | 8 | 872 | parseTag | static boolean parseTag (tokenInfo *const token, texKind kind) | 375 | 449
418 | Revision_700/sql.c | 1118 | 1125 | 8 | 593 | parseDeclareANSI | static void parseDeclareANSI (tokenInfo *const token, const boolean local) | 1087 | 1139
79 | Revision_700/fortran.c | 1899 | 1903 | 8 | 311 | parseBlockData | static void parseBlockData (tokenInfo *const token) | 1894 | 1913
580 | Revision_700/flex.c | 1854 | 1858 | 8 | NULL | NULL | NULL | NULL | NULL
419 | Revision_700/sql.c | 1034 | 1040 | 8 | 594 | parseSimple | static void parseSimple (tokenInfo *const token, const sqlKind kind) | 1033 | 1040
373 | Revision_700/fortran.c | 1707 | 1711 | 8 | 339 | parseInterfaceBlock | static void parseInterfaceBlock (tokenInfo *const token) | 1684 | 1735
121 | Revision_700/c.c | 1781 | 1785 | 8 | 393 | processToken | static void processToken (tokenInfo *const token, statementInfo *const st) | 1715 | 1809
331 | Revision_700/c.c | 1790 | 1794 | 8 | 393 | processToken | static void processToken (tokenInfo *const token, statementInfo *const st) | 1715 | 1809
244 | Revision_700/c.c | 2241 | 2248 | 8 | 45 | analyzePostParens | static void analyzePostParens (statementInfo *const st, parenInfo *const info) | 2032 | 2475
98 | Revision_700/vstring.c | 35 | 40 | 8 | 512 | vStringResize | static void vStringResize (vString *const string, const size_t newSize) | 34 | 40
269 | Revision_700/eiffel.c | 1002 | 1006 | 8 | 325 | parseFeature | static boolean parseFeature (tokenInfo *const token) | 982 | 1011
269 | Revision_700/eiffel.c | 864 | 868 | 8 | 342 | parseLocal | static void parseLocal (tokenInfo *const token) | 848 | 870
581 | Revision_700/flex.c | 1342 | 1352 | 8 | 849 | parseVar | static boolean parseVar (tokenInfo *const token, boolean is_public) | 1302 | 1360
85 | Revision_700/fortran.c | 1326 | 1330 | 8 | 319 | parseEntityDecl | static void parseEntityDecl (tokenInfo *const token) | 1299 | 1334
269 | Revision_700/eiffel.c | 951 | 955 | 8 | 398 | readFeatureName | static boolean readFeatureName (tokenInfo *const token) | 941 | 957
420 | Revision_700/sql.c | 1749 | 1755 | 8 | 726 | parseService | static void parseService (tokenInfo *const token) | 1731 | 1758
421 | Revision_700/sql.c | 1720 | 1726 | 8 | 598 | parsePublication | static void parsePublication (tokenInfo *const token) | 1700 | 1729
422 | Revision_700/sql.c | 1439 | 1444 | 8 | 592 | parsePackage | static void parsePackage (tokenInfo *const token) | 1408 | 1447
151 | Revision_700/eiffel.c | 839 | 844 | 8 | 323 | parseEntityType | static void parseEntityType (tokenInfo *const token) | 826 | 845
79 | Revision_700/fortran.c | 1528 | 1533 | 8 | 363 | parseStructureStmt | static void parseStructureStmt (tokenInfo *const token) | 1513 | 1550
94 | Revision_700/c.c | 2785 | 2790 | 8 | NULL | NULL | NULL | NULL | NULL
79 | Revision_700/fortran.c | 1535 | 1540 | 8 | 363 | parseStructureStmt | static void parseStructureStmt (tokenInfo *const token) | 1513 | 1550
84 | Revision_700/fortran.c | 1323 | 1331 | 8 | 319 | parseEntityDecl | static void parseEntityDecl (tokenInfo *const token) | 1299 | 1334
151 | Revision_700/eiffel.c | 1021 | 1025 | 8 | 323 | parseExport | static void parseExport (tokenInfo *const token) | 1013 | 1028
