cloneType,granularity,gcid1,gcid2,no_of_revision_paired,couplingStrength,latePropagationCount,dominantChangeCategory,made_pair_in_revisions,gcid1_changed_revs,gcid2_changed_revs
"Type3","Block",696,804,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",698,748,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",698,749,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",698,750,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",698,804,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",748,749,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",748,750,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",748,804,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",749,750,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",749,804,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",750,804,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",96,97,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",100,101,2,0.5000,1,"SIMILARITY_PRESERVING","[302, 315]","[298, 302, 315]","[289, 302, 315]"
"Type3","Block",100,102,2,0.5000,1,"SIMILARITY_PRESERVING","[302, 315]","[298, 302, 315]","[289, 302, 315]"
"Type3","Block",103,104,5,0.8333,1,"SIMILARITY_PRESERVING","[32, 82, 302, 315, 498]","[32, 82, 298, 302, 315, 498]","[32, 82, 302, 315, 498]"
"Type3","Block",807,808,2,1.0000,0,"SIMILARITY_PRESERVING","[302, 315]","[302, 315]","[302, 315]"
"Type3","Block",106,107,8,0.8889,1,"SIMILARITY_PRESERVING","[32, 82, 139, 302, 315, 482, 498, 525]","[32, 82, 139, 298, 302, 315, 482, 498, 525]","[32, 82, 139, 302, 315, 482, 498, 525]"
"Type3","Block",1046,1047,1,1.0000,0,"SIMILARITY_PRESERVING","[506]","[506]","[506]"
"Type3","Block",1096,1187,1,1.0000,0,"SIMILARITY_PRESERVING","[590]","[590]","[590]"
"Type3","Block",1048,1049,1,1.0000,0,"SIMILARITY_PRESERVING","[506]","[506, 590]","[506, 590]"
"Type3","Block",1048,1053,2,0.6667,0,"SIMILARITY_PRESERVING","[506, 590]","[506, 590]","[506, 575, 590]"
"Type3","Block",1049,1050,1,0.6667,0,"SIMILARITY_PRESERVING","[506]","[506, 590]","[506, 575, 590]"
"Type3","Block",1049,1054,1,0.5000,0,"SIMILARITY_PRESERVING","[506]","[506, 590]","[506, 575, 590, 597]"
"Type3","Block",1050,1053,2,1.0000,0,"RESYNCHRONIZING","[506, 590]","[506, 575, 590]","[506, 575, 590]"
"Type3","Block",1050,1054,2,0.7500,0,"SIMILARITY_PRESERVING","[506, 590]","[506, 575, 590]","[506, 575, 590, 597]"
"Type3","Block",1053,1054,2,0.7500,0,"SIMILARITY_PRESERVING","[506, 575]","[506, 575, 590]","[506, 575, 590, 597]"
"Type3","Block",1188,1189,1,1.0000,0,"SIMILARITY_PRESERVING","[590]","[590]","[590]"
"Type3","Block",1203,1204,1,1.0000,0,"SIMILARITY_PRESERVING","[731]","[731]","[731]"
"Type3","Block",1203,1205,1,1.0000,0,"RESYNCHRONIZING","[731]","[731]","[731]"
"Type3","Block",1203,1206,1,1.0000,0,"SIMILARITY_PRESERVING","[731]","[731]","[731]"
"Type3","Block",1204,1205,1,1.0000,0,"SIMILARITY_PRESERVING","[731]","[731]","[731]"
"Type3","Block",1204,1206,1,1.0000,0,"SIMILARITY_PRESERVING","[731]","[731]","[731]"
"Type3","Block",1205,1206,1,1.0000,0,"RESYNCHRONIZING","[731]","[731]","[731]"
"Type3","Block",699,700,3,0.7500,0,"SIMILARITY_PRESERVING","[163, 230, 315]","[163, 230, 315]","[163, 230, 295, 315]"
"Type3","Block",1098,1102,1,1.0000,0,"SIMILARITY_PRESERVING","[575]","[575]","[575]"
"Type3","Block",1207,1208,1,0.5000,0,"RESYNCHRONIZING","[731]","[731, 956]","[731]"
"Type3","Block",1207,1209,1,0.5000,0,"SIMILARITY_PRESERVING","[731]","[731, 956]","[731]"
"Type3","Block",1208,1209,1,1.0000,0,"SIMILARITY_PRESERVING","[731]","[731]","[731]"
"Type3","Block",1210,1211,1,0.5000,0,"RESYNCHRONIZING","[731]","[731, 956]","[731]"
"Type3","Block",1210,1212,2,1.0000,0,"RESYNCHRONIZING","[731, 956]","[731, 956]","[731, 956]"
"Type3","Block",1210,1214,2,1.0000,0,"SIMILARITY_PRESERVING","[731, 956]","[731, 956]","[731, 956]"
"Type3","Block",1211,1212,1,0.5000,0,"SIMILARITY_PRESERVING","[731]","[731]","[731, 956]"
"Type3","Block",1212,1214,2,1.0000,0,"RESYNCHRONIZING","[731, 956]","[731, 956]","[731, 956]"
"Type3","Block",125,126,3,0.3333,0,"SIMILARITY_PRESERVING","[302, 315, 482]","[289, 302, 315, 482, 627]","[127, 141, 302, 304, 315, 482, 498]"
"Type3","Block",128,130,6,0.3750,0,"SIMILARITY_PRESERVING","[302, 315, 482, 498, 562, 860]","[206, 207, 289, 302, 315, 454, 482, 498, 562, 627, 860, 940]","[127, 141, 302, 304, 315, 482, 498, 562, 860, 990]"
"Type3","Block",136,137,4,0.2857,0,"SIMILARITY_PRESERVING","[302, 315, 482, 562]","[13, 206, 207, 289, 302, 315, 482, 562, 940]","[127, 141, 302, 315, 482, 498, 562, 860, 990]"
"Type3","Block",136,138,5,0.5000,0,"SIMILARITY_PRESERVING","[207, 289, 302, 315, 482]","[13, 206, 207, 289, 302, 315, 482, 562, 940]","[13, 207, 289, 302, 315, 482, 498, 627, 860]"
"Type3","Block",136,139,1,0.1111,0,"SIMILARITY_PRESERVING","[13]","[13, 206, 207, 289, 302, 315, 482, 562, 940]","[13]"
"Type3","Block",136,141,2,0.2222,0,"RESYNCHRONIZING","[13, 289]","[13, 206, 207, 289, 302, 315, 482, 562, 940]","[13, 289]"
"Type3","Block",136,142,4,0.2667,0,"SIMILARITY_PRESERVING","[302, 315, 482, 562]","[13, 206, 207, 289, 302, 315, 482, 562, 940]","[127, 141, 302, 315, 334, 482, 498, 562, 860, 990]"
"Type3","Block",136,146,2,0.2222,0,"RESYNCHRONIZING","[206, 207]","[13, 206, 207, 289, 302, 315, 482, 562, 940]","[206, 207]"
"Type3","Block",136,147,1,0.1111,0,"SIMILARITY_PRESERVING","[13]","[13, 206, 207, 289, 302, 315, 482, 562, 940]","[13]"
