n,n_pos,n_neg,mcc,auc_roc,pr_auc,balanced_acc,f1,gmean,model,Revision,threshold,train_size
31,1,30,0.695221787153807,1.0,1.0,0.9833333333333334,0.6666666666666666,0.983192080250175,CatBoost,699,0.72,573
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,703,0.361,604
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,703,0.1,604
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,703,0.688,604
2,0,2,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,703,0.72,604
6,3,3,0.0,0.5555555555555556,0.7,0.5,0.6666666666666666,0.0,RandomForest,714,0.361,606
6,3,3,0.0,0.5555555555555556,0.5888888888888889,0.5,0.6666666666666666,0.0,LightGBM,714,0.1,606
6,3,3,0.0,0.5555555555555556,0.7,0.5,0.6666666666666666,0.0,XGBoost,714,0.688,606
6,3,3,0.4472135954999579,0.5555555555555556,0.7,0.6666666666666666,0.75,0.5773502691896257,CatBoost,714,0.72,606
7,6,1,0.0,0.8333333333333334,0.976190476190476,0.5,0.9230769230769231,0.0,RandomForest,720,0.361,612
7,6,1,0.6454972243679028,1.0,1.0,0.9166666666666667,0.9090909090909091,0.9128709291752769,LightGBM,720,0.606,612
7,6,1,0.6454972243679028,1.0,1.0,0.9166666666666667,0.9090909090909091,0.9128709291752769,XGBoost,720,0.688,612
7,6,1,0.6454972243679028,0.8333333333333334,0.976190476190476,0.9166666666666667,0.9090909090909091,0.9128709291752769,CatBoost,720,0.72,612
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,RandomForest,731,0.361,619
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,LightGBM,731,0.1,619
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,XGBoost,731,0.443,619
1,0,1,0.0,0.5,0.0,0.5,0.0,0.0,CatBoost,731,0.72,619
8,4,4,0.5773502691896258,0.75,0.8166666666666667,0.75,0.8,0.7071067811865476,RandomForest,735,0.361,620
8,4,4,0.0,0.5625,0.6916666666666667,0.5,0.5,0.5,LightGBM,735,0.1,620
8,4,4,0.2581988897471611,0.8125,0.8541666666666666,0.625,0.6666666666666666,0.6123724356957945,XGBoost,735,0.443,620
