Revision,gcid1,gcid2,classid,co_change_count,gcid1_independent_change_count,gcid2_independent_change_count,same_file,same_author,same_method,similarity,clone_type,nlines1,nlines2,depth,class_size,is_spcp,weighted_coupling_strength,last_co_change_age,last_solo_change_age,coupling_trend,wcs_recent,solo_events_after_last_cochange,noc1,noc2,file_age1,file_age2,churn1,churn2,distinct_authors1,distinct_authors2,major_author_prop1,major_author_prop2,minor_author_count1,minor_author_count2,wies,will_independently_evolve
731,1211,1214,125,1,0,0,0,1,0,75,Type3,7,7,1,15,0,1.0000,0,-1,1.0000,1.0000,0,2,3,386,386,82,52,1,2,1.0000,0.6667,0,0,0.0000,0
731,1212,1213,125,1,0,0,0,1,1,75,Type3,7,7,1,15,0,1.0000,0,-1,1.0000,1.0000,0,4,3,386,386,60,109,2,2,0.5000,0.6667,0,0,0.0000,0
731,1212,1214,125,1,0,0,1,1,1,75,Type3,7,7,0,15,1,1.0000,0,-1,1.0000,1.0000,0,4,3,386,386,60,52,2,2,0.5000,0.6667,0,0,0.0000,0
731,1213,1214,125,1,0,0,0,1,1,75,Type3,7,7,1,15,0,1.0000,0,-1,1.0000,1.0000,0,3,3,386,386,109,52,2,2,0.6667,0.6667,0,0,0.0000,0
731,1235,1236,121,0,0,1,1,1,0,75,Type3,5,5,0,4,0,0.0000,-1,0,0.0000,0.0000,1,1,2,383,383,60,80,1,2,1.0000,0.5000,0,0,1.0000,1
731,1256,1257,115,3,1,1,0,1,1,88,Type3,33,33,1,5,0,0.7328,0,39,0.1002,1.0000,0,12,6,351,351,413,84,2,2,0.8333,0.8333,0,0,0.2672,0
731,1268,1269,84,2,0,0,1,1,0,76,Type3,23,23,0,15,1,1.0000,0,-1,0.0000,1.0000,0,2,2,103,103,47,47,2,2,0.5000,0.5000,0,0,0.0000,0
731,1274,1275,152,1,0,0,1,1,1,100,Type3,11,11,0,16,1,1.0000,0,-1,1.0000,1.0000,0,2,2,327,327,21,21,2,2,0.5000,0.5000,0,0,0.0000,0
731,1274,1276,152,1,0,0,1,1,1,100,Type3,11,11,0,16,1,1.0000,0,-1,1.0000,1.0000,0,2,1,327,327,21,14,2,1,0.5000,1.0000,0,0,0.0000,0
731,1275,1276,152,1,0,0,1,1,1,100,Type3,11,11,0,16,1,1.0000,0,-1,1.0000,1.0000,0,2,1,327,327,21,14,2,1,0.5000,1.0000,0,0,0.0000,0
731,1281,1298,108,0,1,0,0,1,0,83,Type3,7,12,1,12,0,0.0000,-1,0,0.0000,0.0000,2,4,1,280,275,72,2,2,1,0.5000,1.0000,0,0,1.0000,1
731,1281,1299,108,0,1,0,0,1,0,83,Type3,7,12,1,12,0,0.0000,-1,0,0.0000,0.0000,2,4,1,280,275,72,2,2,1,0.5000,1.0000,0,0,1.0000,1
731,1300,1301,58,0,0,2,0,1,0,77,Type3,13,13,2,10,0,0.0000,-1,0,0.0000,0.0000,2,0,2,41,41,0,29,0,1,0.0000,1.0000,0,0,1.0000,1
735,110,1251,157,0,0,4,0,1,0,72,Type3,16,5,1,18,0,0.0000,-1,0,0.0000,0.0000,9,4,11,998,123,362,1313,2,1,0.7500,1.0000,0,0,1.0000,1
735,110,1260,157,0,0,6,0,1,0,72,Type3,16,5,1,18,0,0.0000,-1,0,0.0000,0.0000,10,4,18,998,107,362,2111,2,1,0.7500,1.0000,0,0,1.0000,1
735,111,1251,157,0,0,4,0,1,0,72,Type3,16,5,1,18,0,0.0000,-1,0,0.0000,0.0000,12,8,11,998,123,672,1313,3,1,0.7500,1.0000,0,0,1.0000,1
735,111,1260,157,0,0,6,0,1,0,72,Type3,16,5,1,18,0,0.0000,-1,0,0.0000,0.0000,13,8,18,998,107,672,2111,3,1,0.7500,1.0000,0,0,1.0000,1
735,1057,1251,157,1,1,3,1,1,0,100,Type3,8,5,0,18,0,0.0413,91,0,-0.3140,0.0000,4,3,11,245,123,760,1313,1,1,1.0000,1.0000,0,0,0.9587,1
735,1057,1260,157,0,0,6,1,1,0,100,Type3,8,5,0,18,0,0.0000,-1,0,0.0000,0.0000,8,3,18,245,107,760,2111,1,1,1.0000,1.0000,0,0,1.0000,1
735,1058,1251,157,0,0,4,0,1,0,100,Type3,8,5,1,18,0,0.0000,-1,0,0.0000,0.0000,5,0,11,245,123,0,1313,0,1,0.0000,1.0000,0,0,1.0000,1
735,1058,1260,157,0,0,6,0,1,0,100,Type3,8,5,1,18,0,0.0000,-1,0,0.0000,0.0000,6,0,18,245,107,0,2111,0,1,0.0000,1.0000,0,0,1.0000,1
735,1251,1258,157,2,1,3,1,1,0,75,Type3,5,9,0,18,0,0.1795,33,0,-0.3595,0.0000,2,11,11,123,112,1313,877,1,1,1.0000,1.0000,0,0,0.8205,1
735,1251,1259,157,2,1,3,1,1,0,75,Type3,5,9,0,18,0,0.1795,33,0,-0.3595,0.0000,2,11,9,123,112,1313,787,1,1,1.0000,1.0000,0,0,0.8205,1
735,1251,1260,157,3,0,3,1,1,0,75,Type3,5,5,0,18,0,0.5249,0,18,0.2876,1.0000,0,11,18,123,107,1313,2111,1,1,1.0000,1.0000,0,0,0.4751,0
735,1258,1260,157,2,2,4,1,1,0,77,Type3,9,5,0,18,0,0.1210,33,0,-0.1639,0.0000,4,11,18,112,107,877,2111,1,1,1.0000,1.0000,0,0,0.8790,1
735,1259,1260,157,2,2,4,1,1,0,77,Type3,9,5,0,18,0,0.1210,33,0,-0.1639,0.0000,4,9,18,112,107,787,2111,1,1,1.0000,1.0000,0,0,0.8790,1
