revision,gcid,filePath,changeType,nlines,totalChanges,totalUnchanged,stabilityIndex,changeProneness,lifespan,author,activePairs,meanWCS,maxWCS,minWCS,stronglyCoupledPairs,decoupledPairs
260,54,fortran.c,M,5,1,249,0.9614,0.0039,258,darren,5,0.3793,1.0000,0.0000,2,3
260,55,fortran.c,M,5,1,249,0.9614,0.0039,258,darren,5,0.3586,0.8966,0.0000,2,3
260,57,fortran.c,M,5,1,249,0.9614,0.0039,258,darren,5,0.3793,1.0000,0.0000,2,3
260,71,fortran.c,M,38,1,249,0.9614,0.0039,258,darren,0,0.0000,0.0000,0.0000,0,0
260,72,fortran.c,M,17,2,248,0.9575,0.0077,258,darren,1,0.8966,0.8966,0.8966,1,0
260,73,fortran.c,M,17,1,249,0.9614,0.0039,258,darren,1,0.8966,0.8966,0.8966,1,0
260,210,fortran.c,M,8,1,45,0.9783,0.0217,45,darren,1,0.0000,0.0000,0.0000,0,1
260,225,fortran.c,M,8,1,0,0.0000,1.0000,0,darren,1,1.0000,1.0000,1.0000,1,0
260,226,fortran.c,M,11,1,0,0.0000,1.0000,0,darren,1,1.0000,1.0000,1.0000,1,0
260,227,fortran.c,M,7,1,0,0.0000,1.0000,0,darren,1,1.0000,1.0000,1.0000,1,0
262,228,php.c,M,35,1,0,0.0000,1.0000,0,darren,1,0.0000,0.0000,0.0000,0,1
265,235,erlang.c,M,7,1,0,0.0000,0.5000,1,darren,5,0.4000,1.0000,0.0000,2,3
265,237,erlang.c,M,7,1,0,0.0000,0.5000,1,darren,5,0.4000,1.0000,0.0000,2,3
265,239,erlang.c,M,7,1,0,0.0000,1.0000,0,darren,5,0.4000,1.0000,0.0000,2,3
267,8,fortran.c,M,6,1,256,0.9624,0.0038,265,darren,2,0.0000,0.0000,0.0000,0,2
267,52,fortran.c,M,5,1,256,0.9624,0.0038,265,darren,6,0.1796,0.5523,0.0000,2,4
267,54,fortran.c,M,5,2,255,0.9586,0.0075,265,darren,6,0.3252,0.9509,0.0000,2,3
267,55,fortran.c,M,5,2,255,0.9586,0.0075,265,darren,6,0.3170,0.9509,0.0000,2,3
267,59,fortran.c,M,5,1,256,0.9624,0.0038,265,darren,5,0.2000,1.0000,0.0000,1,4
267,60,fortran.c,M,5,1,256,0.9624,0.0038,265,darren,5,0.2000,1.0000,0.0000,1,4
267,61,fortran.c,M,5,1,256,0.9624,0.0038,265,darren,0,0.0000,0.0000,0.0000,0,0
267,63,fortran.c,M,18,1,256,0.9624,0.0038,265,darren,1,0.0000,0.0000,0.0000,0,1
