Revision,gcid,classid,n_prior_changes,n_prior_co_changes,n_prior_independent,co_change_ratio,revs_since_last_change,revs_since_last_co_change,revs_since_last_independent,recent_co_ratio_last5,solo_events_since_last_co,nlines,similarity,file_age,change_proneness,stability_index,change_magnitude,avg_prior_change_magnitude,class_size,alive_peer_count,class_co_change_density,frac_peers_same_file,frac_peers_same_method,mean_peer_co_ratio,max_peer_co_ratio,min_peer_co_ratio,mean_peer_depth,ir_decay_h10,cs_decay_h10,ir_decay_h20,cs_decay_h20,ir_decay_h50,cs_decay_h50,coupling_trend,churn,distinct_authors,major_author_prop,label
732,624,48,1,0,1,0.0,1,-1,1,0.0,1,23,70,1,1.0,0.0,0.0488,1.0,71,58,0.8448,0.069,0.0,0.0,0.0,0.0,0.93,1.0,0.0,1.0,0.0,1.0,0.0,0.0,46,1,1.0,1
735,559,106,1,1,0,1.0,39,39,-1,1.0,0,16,83,39,0.0256,0.314,0.1,1.0,35,34,0.9412,0.0588,0.0294,0.0294,1.0,0.0,0.94,0.0,1.0,0.0,1.0,0.0,1.0,0.0,36,1,1.0,1
737,206,18,6,3,3,0.5,38,262,38,0.4,3,5,75,522,0.0115,0.9934,1.0,1.0,42,22,0.9545,0.0455,0.0,0.1515,0.5,0.0,0.95,1.0,0.0,0.9994,0.0006,0.9509,0.0491,-1.0,3706,1,1.0,1
737,304,28,2,2,0,1.0,262,262,-1,1.0,0,10,70,276,0.0072,0.7978,0.5,0.875,55,36,0.7778,0.0556,0.0278,0.0833,1.0,0.0,0.94,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3194,1,1.0,1
737,345,36,4,4,0,1.0,38,38,-1,1.0,0,5,71,276,0.0145,0.9157,0.6364,0.4806,71,56,0.8214,0.1429,0.0,0.0804,1.0,0.0,0.86,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1613,1,1.0,0
737,346,36,4,4,0,1.0,38,38,-1,1.0,0,5,71,276,0.0145,0.7612,0.1429,0.3572,71,56,0.8214,0.1429,0.0,0.0804,1.0,0.0,0.86,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1613,1,1.0,0
737,358,34,4,3,0,0.75,38,38,-1,1.0,0,10,70,269,0.0149,0.5444,0.3846,0.6528,113,98,0.7653,0.2143,0.0,0.1046,0.75,0.0,0.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1622,1,1.0,0
737,397,40,8,5,1,0.625,38,38,74,0.6,0,5,71,107,0.0748,1.0267,1.2727,1.2386,106,97,0.9175,0.3093,0.0103,0.0374,0.5,0.0,0.69,0.0712,0.9288,0.1737,0.8263,0.2332,0.7668,-0.5,405,1,1.0,0
740,321,30,4,4,0,1.0,96,96,-1,1.0,0,10,70,279,0.0143,0.7697,0.0909,0.2614,96,78,0.8974,0.2564,0.0,0.1378,1.0,0.0,0.74,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1806,1,1.0,0
740,322,30,4,4,0,1.0,96,96,-1,1.0,0,10,70,279,0.0143,0.7697,0.0909,0.2614,96,78,0.8974,0.2564,0.0,0.1378,1.0,0.0,0.74,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1806,1,1.0,0
740,345,36,6,5,0,0.8333,3,3,-1,1.0,0,5,71,279,0.0215,0.927,0.6364,0.5325,71,56,0.8214,0.1429,0.0,0.0595,1.0,0.0,0.86,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1795,1,1.0,1
740,626,35,1,1,0,1.0,3,3,-1,1.0,0,5,75,3,0.3333,0.5,0.1429,1.0,146,122,0.7787,0.2541,0.0,0.041,1.0,0.0,0.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,91,1,1.0,0
742,397,40,10,7,1,0.7,1,1,79,0.8,0,5,71,112,0.0893,1.0535,1.0,1.1909,106,99,0.9091,0.3232,0.0101,0.0333,0.5,0.0,0.68,0.0048,0.9952,0.0507,0.9493,0.1397,0.8603,0.0,513,1,1.0,0
743,627,40,1,0,1,0.0,2,-1,2,0.0,1,5,71,2,0.5,0.0132,0.0833,1.0,106,99,0.9192,0.3232,0.0,0.0,0.0,0.0,0.68,1.0,0.0,1.0,0.0,1.0,0.0,0.0,17,1,1.0,1
745,337,33,1,1,0,1.0,270,270,-1,1.0,0,10,70,284,0.0035,0.8202,1.2083,0.875,113,102,0.7941,0.2059,0.0,0.3333,1.0,0.0,0.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1503,1,1.0,0
745,345,36,8,5,1,0.625,5,8,5,0.6,1,5,71,284,0.0282,0.9494,0.6364,0.5585,71,56,0.8214,0.1429,0.0,0.0446,0.75,0.0,0.86,0.5425,0.4575,0.4849,0.5151,0.3961,0.6039,-0.5,1921,1,1.0,1
745,397,40,12,9,1,0.75,2,2,82,1.0,0,5,71,115,0.1043,1.0909,1.0,1.1363,106,99,0.9192,0.3232,0.0101,0.0295,0.4167,0.0,0.68,0.0022,0.9978,0.0282,0.9718,0.0984,0.9016,0.3333,590,1,1.0,0
751,271,24,2,2,0,1.0,308,308,-1,1.0,0,8,75,316,0.0063,0.822,0.1111,1.0,75,55,0.6182,0.0182,0.0,0.1909,1.0,0.0,0.98,0.0,0.0,0.0,1.0,0.0,1.0,0.0,266,1,1.0,1
755,476,32,1,1,0,1.0,68,68,-1,1.0,0,10,70,73,0.0137,1.0296,1.3125,1.3125,110,101,0.7822,0.1881,0.0099,0.0099,1.0,0.0,0.81,0.0,1.0,0.0,1.0,0.0,1.0,0.0,14,1,1.0,0
755,481,32,4,2,0,0.5,55,55,-1,1.0,0,10,70,73,0.0548,1.5704,0.3636,0.3636,110,101,0.7822,0.1881,0.0099,0.0124,1.0,0.0,0.81,0.0,1.0,0.0,1.0,0.0,1.0,0.0,305,1,1.0,0
755,485,32,3,2,0,0.6667,55,55,-1,1.0,0,10,70,73,0.0411,1.0444,0.3,0.3,110,101,0.7822,0.1881,0.0396,0.0099,0.6667,0.0,0.81,0.0,1.0,0.0,1.0,0.0,1.0,0.0,208,1,1.0,0
