pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors,weighted_coupling_strength,coupling_trend,last_co_change_age,last_solo_change_age,method_name1,method_signature1,method_name2,method_signature2
47,Type1,Block,3,14,15,264,264,Still Active,Still Active,552,552,1,0,6,100,erlang.c,python.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,darren; elias; dhiebert; elliotth; dfishburn; jafl; perlguy0; vberthoux,0.0000,-0.0381,373,39,NULL,NULL,NULL,NULL
48,Type1,Block,4,10,16,97,461,Still Active,468,719,7,0,0,0,100,routines.c,jscript.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dfishburn; elliotth,0.0000,0.0000,-1,25,strncasecmp,"extern int strncasecmp (const char *s1, const char *s2, size_t n)",skipArgumentList,static void skipArgumentList (tokenInfo *const token)
49,Type1,Block,4,10,17,97,461,Still Active,644,719,183,0,0,3,100,routines.c,sql.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,0.0000,0.0000,-1,167,strncasecmp,"extern int strncasecmp (const char *s1, const char *s2, size_t n)",skipArgumentList,static void skipArgumentList (tokenInfo *const token)
50,Type1,Block,4,10,44,97,468,Still Active,644,719,176,0,0,4,100,routines.c,jscript.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,0.0000,0.0000,-1,167,strncasecmp,"extern int strncasecmp (const char *s1, const char *s2, size_t n)",skipArgumentList,static void skipArgumentList (tokenInfo *const token)
51,Type1,Block,4,10,47,97,591,Still Active,707,719,116,0,0,0,100,routines.c,regex.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,0.0000,0.0000,-1,264,strncasecmp,"extern int strncasecmp (const char *s1, const char *s2, size_t n)",NULL,NULL
52,Type1,Block,4,10,48,97,591,Still Active,707,719,116,0,0,0,100,routines.c,regex.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,0.0000,0.0000,-1,264,strncasecmp,"extern int strncasecmp (const char *s1, const char *s2, size_t n)",NULL,NULL
53,Type1,Block,4,10,65,97,682,Still Active,Still Active,719,134,0,0,1,100,routines.c,flex.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dfishburn; elliotth; elias; dhiebert; jafl; vberthoux; perlguy0,0.0000,0.0000,-1,61,strncasecmp,"extern int strncasecmp (const char *s1, const char *s2, size_t n)",deleteToken,static void deleteToken (tokenInfo *const token)
54,Type1,Block,4,10,107,97,693,Still Active,694,719,1,0,0,0,100,routines.c,flex.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dfishburn,0.0000,0.0000,-1,251,strncasecmp,"extern int strncasecmp (const char *s1, const char *s2, size_t n)",newToken,static tokenInfo *newToken (void)
55,Type1,Block,4,10,108,97,693,Still Active,694,719,1,0,0,0,100,routines.c,tex.c,1,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux,dfishburn,0.0000,0.0000,-1,251,strncasecmp,"extern int strncasecmp (const char *s1, const char *s2, size_t n)",newToken,static tokenInfo *newToken (void)
56,Type1,Block,4,16,17,461,461,468,644,7,183,0,0,1,100,jscript.c,sql.c,1,dfishburn; elliotth,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,0.0000,0.0000,-1,0,skipArgumentList,static void skipArgumentList (tokenInfo *const token),skipArgumentList,static void skipArgumentList (tokenInfo *const token)
57,Type1,Block,4,16,44,461,468,468,644,7,176,0,0,1,100,jscript.c,jscript.c,0,dfishburn; elliotth,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,0.0000,0.0000,-1,0,skipArgumentList,static void skipArgumentList (tokenInfo *const token),skipArgumentList,static void skipArgumentList (tokenInfo *const token)
58,Type1,Block,4,16,47,461,591,468,707,7,116,0,0,0,100,jscript.c,regex.c,1,dfishburn; elliotth,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,0.0000,0.0000,-1,-1,skipArgumentList,static void skipArgumentList (tokenInfo *const token),NULL,NULL
59,Type1,Block,4,16,48,461,591,468,707,7,116,0,0,0,100,jscript.c,regex.c,1,dfishburn; elliotth,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,0.0000,0.0000,-1,-1,skipArgumentList,static void skipArgumentList (tokenInfo *const token),NULL,NULL
60,Type1,Block,4,16,65,461,682,468,Still Active,7,134,0,0,0,100,jscript.c,flex.c,1,dfishburn; elliotth,dfishburn; elliotth; elias; dhiebert; jafl; vberthoux; perlguy0,0.0000,0.0000,-1,-1,skipArgumentList,static void skipArgumentList (tokenInfo *const token),deleteToken,static void deleteToken (tokenInfo *const token)
61,Type1,Block,4,16,107,461,693,468,694,7,1,0,0,0,100,jscript.c,flex.c,1,dfishburn; elliotth,dfishburn,0.0000,0.0000,-1,-1,skipArgumentList,static void skipArgumentList (tokenInfo *const token),newToken,static tokenInfo *newToken (void)
62,Type1,Block,4,16,108,461,693,468,694,7,1,0,0,0,100,jscript.c,tex.c,1,dfishburn; elliotth,dfishburn,0.0000,0.0000,-1,-1,skipArgumentList,static void skipArgumentList (tokenInfo *const token),newToken,static tokenInfo *newToken (void)
63,Type1,Block,4,17,44,461,468,644,644,183,176,3,0,1,100,sql.c,jscript.c,1,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,0.7360,-0.7360,167,168,skipArgumentList,static void skipArgumentList (tokenInfo *const token),skipArgumentList,static void skipArgumentList (tokenInfo *const token)
64,Type1,Block,4,17,47,461,591,644,707,183,116,0,0,0,100,sql.c,regex.c,1,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,0.0000,0.0000,-1,167,skipArgumentList,static void skipArgumentList (tokenInfo *const token),NULL,NULL
65,Type1,Block,4,17,48,461,591,644,707,183,116,0,0,0,100,sql.c,regex.c,1,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,0.0000,0.0000,-1,167,skipArgumentList,static void skipArgumentList (tokenInfo *const token),NULL,NULL
66,Type1,Block,4,17,65,461,682,644,Still Active,183,134,0,0,0,100,sql.c,flex.c,1,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,dfishburn; elliotth; elias; dhiebert; jafl; vberthoux; perlguy0,0.0000,0.0000,-1,167,skipArgumentList,static void skipArgumentList (tokenInfo *const token),deleteToken,static void deleteToken (tokenInfo *const token)
67,Type1,Block,4,17,107,461,693,644,694,183,1,0,0,0,100,sql.c,flex.c,1,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,dfishburn,0.0000,0.0000,-1,167,skipArgumentList,static void skipArgumentList (tokenInfo *const token),newToken,static tokenInfo *newToken (void)
68,Type1,Block,4,17,108,461,693,644,694,183,1,0,0,0,100,sql.c,tex.c,1,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,dfishburn,0.0000,0.0000,-1,167,skipArgumentList,static void skipArgumentList (tokenInfo *const token),newToken,static tokenInfo *newToken (void)
69,Type1,Block,4,44,47,468,591,644,707,176,116,0,0,0,100,jscript.c,regex.c,1,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,0.0000,0.0000,-1,167,skipArgumentList,static void skipArgumentList (tokenInfo *const token),NULL,NULL
70,Type1,Block,4,44,48,468,591,644,707,176,116,0,0,0,100,jscript.c,regex.c,1,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,0.0000,0.0000,-1,167,skipArgumentList,static void skipArgumentList (tokenInfo *const token),NULL,NULL
71,Type1,Block,4,44,65,468,682,644,Still Active,176,134,0,0,0,100,jscript.c,flex.c,1,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,dfishburn; elliotth; elias; dhiebert; jafl; vberthoux; perlguy0,0.0000,0.0000,-1,167,skipArgumentList,static void skipArgumentList (tokenInfo *const token),deleteToken,static void deleteToken (tokenInfo *const token)
72,Type1,Block,4,44,107,468,693,644,694,176,1,0,0,0,100,jscript.c,flex.c,1,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,dfishburn,0.0000,0.0000,-1,167,skipArgumentList,static void skipArgumentList (tokenInfo *const token),newToken,static tokenInfo *newToken (void)
73,Type1,Block,4,44,108,468,693,644,694,176,1,0,0,0,100,jscript.c,tex.c,1,dfishburn; elliotth; jafl; perlguy0; dhiebert; elias,dfishburn,0.0000,0.0000,-1,167,skipArgumentList,static void skipArgumentList (tokenInfo *const token),newToken,static tokenInfo *newToken (void)
74,Type1,Block,4,47,48,591,591,707,707,116,116,0,0,0,100,regex.c,regex.c,0,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,0.0000,0.0000,-1,-1,NULL,NULL,NULL,NULL
75,Type1,Block,4,47,65,591,682,707,Still Active,116,134,0,0,0,100,regex.c,flex.c,1,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,dfishburn; elliotth; elias; dhiebert; jafl; vberthoux; perlguy0,0.0000,0.0000,-1,-1,NULL,NULL,deleteToken,static void deleteToken (tokenInfo *const token)
76,Type1,Block,4,47,107,591,693,707,694,116,1,0,0,0,100,regex.c,flex.c,1,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,dfishburn,0.0000,0.0000,-1,-1,NULL,NULL,newToken,static tokenInfo *newToken (void)
77,Type1,Block,4,47,108,591,693,707,694,116,1,0,0,0,100,regex.c,tex.c,1,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,dfishburn,0.0000,0.0000,-1,-1,NULL,NULL,newToken,static tokenInfo *newToken (void)
78,Type1,Block,4,48,65,591,682,707,Still Active,116,134,0,0,0,100,regex.c,flex.c,1,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,dfishburn; elliotth; elias; dhiebert; jafl; vberthoux; perlguy0,0.0000,0.0000,-1,-1,NULL,NULL,deleteToken,static void deleteToken (tokenInfo *const token)
79,Type1,Block,4,48,107,591,693,707,694,116,1,0,0,0,100,regex.c,flex.c,1,dhiebert; perlguy0; elliotth; jafl; elias; dfishburn,dfishburn,0.0000,0.0000,-1,-1,NULL,NULL,newToken,static tokenInfo *newToken (void)
