pairId,cloneType,granularity,classId,clone1_gcid,clone2_gcid,clone1_addedRev,clone2_addedRev,clone1_deletedRev,clone2_deletedRev,clone1_lifespan,clone2_lifespan,co_change,gcid1_independent_change,gcid2_independent_change,similarity,filepath1,filepath2,file_distance,gcid1_authors,gcid2_authors
60,Type3,Block,2,3,745,2,717,Still Active,Still Active,814,99,0,1,0,70,lisp.c,ocaml.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,dhiebert; jafl; dfishburn; elias; elliotth; vberthoux; perlguy0
61,Type3,Block,2,3,783,2,771,Still Active,Still Active,814,45,0,0,0,70,lisp.c,objc.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,vberthoux; elias; dhiebert; dfishburn; perlguy0
62,Type3,Block,2,4,5,2,2,Still Active,Still Active,814,814,1,1,0,70,asp.c,beta.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
63,Type3,Block,2,4,6,2,2,Still Active,119,814,117,0,0,0,70,asp.c,asm.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren
64,Type3,Block,2,4,7,2,2,Still Active,Still Active,814,814,1,1,4,70,asp.c,perl.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; perlguy0; elias; elliotth; dfishburn; jafl; dhiebert; vberthoux
65,Type3,Block,2,4,8,2,2,Still Active,Still Active,814,814,1,1,3,70,asp.c,c.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
66,Type3,Block,2,4,9,2,2,Still Active,Still Active,814,814,1,1,5,70,asp.c,eiffel.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; dhiebert; elliotth; elias; dfishburn; jafl; perlguy0; vberthoux
67,Type3,Block,2,4,10,2,2,Still Active,Still Active,814,814,1,1,0,70,asp.c,awk.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
68,Type3,Block,2,4,11,2,2,Still Active,227,814,225,0,0,0,70,asp.c,cobol.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren
69,Type3,Block,2,4,12,2,2,Still Active,Still Active,814,814,1,1,5,70,asp.c,c.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
70,Type3,Block,2,4,13,2,2,Still Active,Still Active,814,814,1,1,6,70,asp.c,python.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
71,Type3,Block,2,4,14,2,2,Still Active,Still Active,814,814,1,1,1,70,asp.c,pascal.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
72,Type3,Block,2,4,15,2,2,Still Active,Still Active,814,814,1,1,6,70,asp.c,c.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
73,Type3,Block,2,4,16,2,2,Still Active,Still Active,814,814,1,1,0,70,asp.c,scheme.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
74,Type3,Block,2,4,17,2,2,Still Active,Still Active,814,814,1,1,0,70,asp.c,sh.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
75,Type3,Block,2,4,18,2,2,Still Active,Still Active,814,814,1,1,0,70,asp.c,tcl.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
76,Type3,Block,2,4,19,2,2,Still Active,Still Active,814,814,1,1,2,70,asp.c,ruby.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
77,Type3,Block,2,4,20,2,2,Still Active,Still Active,814,814,1,1,1,70,asp.c,vim.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; dfishburn; elias; elliotth; jafl; perlguy0; dhiebert; vberthoux
78,Type3,Block,2,4,21,2,2,Still Active,Still Active,814,814,1,1,4,70,asp.c,fortran.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elliotth; elias; dfishburn; jafl; perlguy0; dhiebert; vberthoux
79,Type3,Block,2,4,22,2,2,Still Active,487,814,485,1,0,0,70,asp.c,php.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn
80,Type3,Block,2,4,23,2,2,Still Active,Still Active,814,814,1,1,0,70,asp.c,yacc.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
81,Type3,Block,2,4,24,2,2,Still Active,Still Active,814,814,1,1,1,70,asp.c,slang.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; elias; elliotth; dfishburn; jafl; perlguy0; dhiebert; vberthoux
82,Type3,Block,2,4,25,2,2,Still Active,Still Active,814,814,1,1,2,70,asp.c,make.c,1,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux,darren; dhiebert; elias; elliotth; dfishburn; jafl; perlguy0; vberthoux
