verification_revision,gcid,classid,decision_index,prev_change_revision,gap_since_prev_change,n_prior_changes,n_prior_co_changes,n_prior_solo_changes,co_change_ratio,solo_change_ratio,revs_since_last_change,revs_since_last_co_change,revs_since_last_solo_change,solo_events_since_last_co_change,recent_co_ratio_last5,recent_solo_ratio_last5,nlines,similarity,file_age,change_density,stability_index,class_size,alive_peer_count,frac_peers_same_file,frac_peers_same_method,mean_peer_co_ratio,max_peer_co_ratio,min_peer_co_ratio,mean_peer_depth,independent_ratio_decay_h10,coupling_strength_decay_h10,independent_ratio_decay_h20,coupling_strength_decay_h20,independent_ratio_decay_h50,coupling_strength_decay_h50,coupling_trend,cumulative_churn,distinct_authors,major_author_prop,label
443,146,48,3,417,26,2,1,1,0.5,0.5,26,347,26,1,0.5,0.5,7,83,441,0.0045,0.5276,71,21,0.0,0.0,0.0238,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.9885,0.0115,0.0,81,1,1.0,1
443,147,49,3,259,184,2,2,0,1.0,0.0,184,184,-1,0,1.0,0.0,17,76,441,0.0045,0.5276,70,22,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,36,1,1.0,1
443,148,49,6,259,184,5,2,2,0.4,0.4,184,184,242,0,0.6,0.4,18,73,441,0.0113,1.283,70,22,0.0,0.0,0.0,0.0,0.0,1.0,0.0062,0.9938,0.0438,0.9562,0.1416,0.8584,1.0,96,1,1.0,1
443,148,49,7,443,0,5,2,2,0.4,0.4,184,184,242,0,0.6,0.4,18,73,441,0.0113,1.283,70,22,0.0,0.0,0.0,0.0,0.0,1.0,0.0062,0.9938,0.0438,0.9562,0.1416,0.8584,1.0,96,1,1.0,1
443,149,24,3,96,347,2,2,0,1.0,0.0,347,347,-1,0,1.0,0.0,8,83,404,0.005,0.5167,75,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,144,1,1.0,1
443,150,44,3,163,280,2,2,0,1.0,0.0,280,280,-1,0,1.0,0.0,6,100,404,0.005,0.5167,66,19,0.2105,0.0526,0.0263,0.5,0.0,0.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,71,1,1.0,1
443,151,44,3,163,280,2,2,0,1.0,0.0,280,280,-1,0,1.0,0.0,6,100,404,0.005,0.5167,66,19,0.2105,0.0526,0.0789,0.5,0.0,0.79,0.0,1.0,0.0,1.0,0.0,1.0,0.0,199,1,1.0,1
443,152,47,3,190,253,2,2,0,1.0,0.0,253,253,-1,0,1.0,0.0,6,80,404,0.005,0.5167,64,20,0.2,0.0,0.075,0.5,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,210,1,1.0,1
443,153,47,2,39,404,1,1,0,1.0,0.0,404,404,-1,0,1.0,0.0,6,80,404,0.0025,0.518,64,20,0.2,0.0,0.1,1.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,142,1,1.0,1
443,155,37,2,163,280,1,1,0,1.0,0.0,280,280,-1,0,1.0,0.0,8,83,346,0.0029,0.4778,71,14,0.0714,0.0,0.0,0.0,0.0,0.93,0.0,1.0,0.0,1.0,0.0,1.0,0.0,9,1,1.0,1
443,179,4,2,200,243,1,1,0,1.0,0.0,243,243,-1,0,1.0,0.0,11,77,282,0.0035,0.4268,42,12,0.1667,0.0,0.0833,1.0,0.0,0.83,0.0,1.0,0.0,1.0,0.0,1.0,0.0,106,1,1.0,1
443,180,4,2,161,282,1,0,1,0.0,1.0,282,-1,282,1,0.0,1.0,5,75,282,0.0035,0.4284,42,11,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,168,1,1.0,1
443,182,48,2,163,280,1,1,0,1.0,0.0,280,280,-1,0,1.0,0.0,5,100,280,0.0036,0.4266,71,20,0.05,0.0,0.1,1.0,0.0,0.95,0.0,1.0,0.0,1.0,0.0,1.0,0.0,17,1,1.0,1
443,183,48,2,163,280,1,1,0,1.0,0.0,280,280,-1,0,1.0,0.0,5,100,280,0.0036,0.4266,71,20,0.05,0.0,0.1,1.0,0.0,0.95,0.0,1.0,0.0,1.0,0.0,1.0,0.0,17,1,1.0,1
443,187,42,2,190,253,1,1,0,1.0,0.0,253,253,-1,0,1.0,0.0,6,80,253,0.004,0.4019,92,14,0.2857,0.0,0.0714,1.0,0.0,0.71,0.0,1.0,0.0,1.0,0.0,1.0,0.0,68,1,1.0,1
443,188,4,2,200,243,1,1,0,1.0,0.0,243,243,-1,0,1.0,0.0,8,71,243,0.0041,0.3922,42,11,0.0909,0.0,0.0,0.0,0.0,0.91,0.0,1.0,0.0,1.0,0.0,1.0,0.0,106,1,1.0,1
443,191,6,2,200,243,1,1,0,1.0,0.0,243,243,-1,0,1.0,0.0,11,77,243,0.0041,0.3922,20,6,0.1667,0.0,0.0,0.0,0.0,0.83,0.0,1.0,0.0,1.0,0.0,1.0,0.0,106,1,1.0,1
443,193,55,2,201,242,1,1,0,1.0,0.0,242,242,-1,0,1.0,0.0,5,100,242,0.0041,0.3912,69,28,0.0357,0.0357,0.0,0.0,0.0,0.96,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10,1,1.0,1
443,195,40,2,213,230,1,0,1,0.0,1.0,230,-1,230,1,0.0,1.0,9,75,230,0.0043,0.3791,106,15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,53,1,1.0,1
443,201,14,2,331,112,1,0,1,0.0,1.0,112,-1,112,1,0.0,1.0,6,100,228,0.0044,0.9187,35,8,0.125,0.0,0.0,0.0,0.0,0.88,1.0,0.0,1.0,0.0,1.0,0.0,0.0,99,1,1.0,1
443,205,17,2,289,154,1,0,1,0.0,1.0,154,-1,154,1,0.0,1.0,12,75,228,0.0044,0.3671,38,12,0.1667,0.0,0.0,0.0,0.0,0.83,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5,1,1.0,1
443,208,19,2,331,112,1,0,1,0.0,1.0,112,-1,112,1,0.0,1.0,6,100,228,0.0044,0.9187,35,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,99,1,1.0,1
443,213,7,2,227,216,1,0,1,0.0,1.0,216,-1,216,1,0.0,1.0,8,70,216,0.0046,0.3644,58,16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,21,1,1.0,1
443,224,10,2,384,59,1,0,1,0.0,1.0,59,-1,59,1,0.0,1.0,12,77,185,0.0054,0.3292,25,4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1,1.0,1
443,235,17,2,265,178,1,1,0,1.0,0.0,178,178,-1,0,1.0,0.0,7,71,179,0.0056,0.3201,38,11,0.2727,0.0,0.1818,1.0,0.0,0.73,0.0,1.0,0.0,1.0,0.0,1.0,0.0,41,1,1.0,1
443,237,17,2,265,178,1,1,0,1.0,0.0,178,178,-1,0,1.0,0.0,7,71,179,0.0056,0.3201,38,11,0.2727,0.0,0.1818,1.0,0.0,0.73,0.0,1.0,0.0,1.0,0.0,1.0,0.0,41,1,1.0,1
443,239,16,2,265,178,1,1,0,1.0,0.0,178,178,-1,0,1.0,0.0,7,71,178,0.0056,0.3207,30,13,0.3077,0.0,0.1538,1.0,0.0,0.69,0.0,1.0,0.0,1.0,0.0,1.0,0.0,41,1,1.0,1
443,242,8,2,273,170,1,1,0,1.0,0.0,170,170,-1,0,1.0,0.0,8,70,170,0.0059,0.3107,48,15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,300,1,1.0,1
443,244,35,2,273,170,1,1,0,1.0,0.0,170,170,-1,0,1.0,0.0,5,75,170,0.0059,0.3107,146,13,0.0,0.0,0.1538,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,300,1,1.0,1
443,245,41,4,386,57,3,3,0,1.0,0.0,57,57,-1,0,1.0,0.0,12,100,170,0.0176,0.307,98,13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,309,1,1.0,1
443,246,44,2,425,18,1,0,1,0.0,1.0,18,-1,18,1,0.0,1.0,5,75,170,0.0059,0.3107,66,19,0.1053,0.0,0.0,0.0,0.0,0.89,1.0,0.0,1.0,0.0,1.0,0.0,0.0,12,1,1.0,1
443,247,44,4,424,19,3,3,0,1.0,0.0,19,19,-1,0,1.0,0.0,5,75,170,0.0176,0.307,66,19,0.1053,0.0,0.0526,1.0,0.0,0.89,0.0,1.0,0.0,1.0,0.0,1.0,0.0,139,1,1.0,1
443,248,44,5,424,19,4,3,0,0.75,0.0,19,19,-1,0,1.0,0.0,5,75,170,0.0235,0.3088,66,19,0.1053,0.0,0.0526,1.0,0.0,0.89,0.0,1.0,0.0,1.0,0.0,1.0,0.0,218,1,1.0,1
443,254,15,2,307,136,1,1,0,1.0,0.0,136,136,-1,0,1.0,0.0,7,71,136,0.0074,0.2647,40,15,0.0667,0.0,0.0667,1.0,0.0,0.93,0.0,1.0,0.0,1.0,0.0,1.0,0.0,123,1,1.0,1
443,255,15,2,307,136,1,1,0,1.0,0.0,136,136,-1,0,1.0,0.0,7,71,136,0.0074,0.2647,40,15,0.0667,0.0,0.0667,1.0,0.0,0.93,0.0,1.0,0.0,1.0,0.0,1.0,0.0,123,1,1.0,1
443,257,7,2,329,114,1,0,1,0.0,1.0,114,-1,114,1,0.0,1.0,6,80,114,0.0088,0.2316,58,16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,30,1,1.0,1
443,258,5,2,341,102,1,0,1,0.0,1.0,102,-1,102,1,0.0,1.0,8,71,102,0.0098,0.2122,44,12,0.0833,0.0,0.0,0.0,0.0,0.92,1.0,0.0,1.0,0.0,1.0,0.0,0.0,263,1,1.0,1
443,259,56,2,341,102,1,0,1,0.0,1.0,102,-1,102,1,0.0,1.0,5,75,102,0.0098,0.2122,69,19,0.0526,0.0,0.0,0.0,0.0,0.95,1.0,0.0,1.0,0.0,1.0,0.0,0.0,263,1,1.0,1
443,262,15,2,401,42,1,0,1,0.0,1.0,42,-1,42,1,0.0,1.0,7,100,42,0.0238,0.0986,40,15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,33,1,1.0,1
443,264,52,2,417,26,1,1,0,1.0,0.0,26,26,-1,0,1.0,0.0,7,83,26,0.0385,0.0625,60,23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,74,1,1.0,1
443,267,22,2,435,8,1,0,1,0.0,1.0,8,-1,8,1,0.0,1.0,5,75,8,0.125,0.0183,63,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,130,1,1.0,1
443,269,23,2,435,8,1,1,0,1.0,0.0,8,8,-1,0,1.0,0.0,11,77,8,0.125,0.0183,64,7,0.1429,0.1429,0.1429,1.0,0.0,0.86,0.0,1.0,0.0,1.0,0.0,1.0,0.0,130,1,1.0,1
443,271,24,2,435,8,1,1,0,1.0,0.0,8,8,-1,0,1.0,0.0,8,75,8,0.125,0.0183,75,5,0.2,0.0,0.2,1.0,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,130,1,1.0,1
461,196,4,2,443,18,1,1,0,1.0,0.0,18,18,-1,0,1.0,0.0,8,71,246,0.0041,0.4053,42,12,0.0,0.0,0.9167,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,456,1,1.0,0
461,197,7,2,443,18,1,1,0,1.0,0.0,18,18,-1,0,1.0,0.0,8,70,246,0.0041,0.4037,58,20,0.0,0.0,0.75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,456,1,1.0,0
461,198,11,2,443,18,1,1,0,1.0,0.0,18,18,-1,0,1.0,0.0,10,70,246,0.0041,0.5565,36,7,0.0,0.0,0.5714,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,456,1,1.0,0
461,205,17,3,443,18,2,1,1,0.5,0.5,18,18,172,0,0.5,0.5,12,75,246,0.0081,0.3953,38,9,0.0,0.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0048,0.9952,0.1058,0.8942,0.0,461,1,1.0,0
461,206,18,2,443,18,1,1,0,1.0,0.0,18,18,-1,0,1.0,0.0,5,75,246,0.0041,0.4053,42,7,0.0,0.0,0.8571,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,456,1,1.0,0
468,197,7,3,461,7,2,2,0,1.0,0.0,7,7,-1,0,1.0,0.0,8,70,253,0.0079,0.4236,58,20,0.0,0.0,0.375,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2147,1,1.0,0
468,307,30,2,462,6,1,0,1,0.0,1.0,6,-1,6,1,0.0,1.0,10,70,7,0.1429,0.0309,96,43,0.4186,0.0,0.0,0.0,0.0,0.58,1.0,0.0,1.0,0.0,1.0,0.0,0.0,13,1,1.0,1
468,307,30,3,468,0,1,0,1,0.0,1.0,6,-1,6,1,0.0,1.0,10,70,7,0.1429,0.0309,96,43,0.4186,0.0,0.0,0.0,0.0,0.58,1.0,0.0,1.0,0.0,1.0,0.0,0.0,13,1,1.0,1
468,326,30,2,468,0,0,0,0,0.0,0.0,7,-1,-1,0,0.0,0.0,11,70,7,0.0,0.1034,96,43,0.4186,0.0233,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1
468,326,30,3,468,0,0,0,0,0.0,0.0,7,-1,-1,0,0.0,0.0,11,70,7,0.0,0.1034,96,43,0.4186,0.0233,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1
469,219,46,2,443,26,1,1,0,1.0,0.0,26,26,-1,0,1.0,0.0,9,71,227,0.0044,0.7958,74,27,0.0,0.0,0.7037,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,140,1,1.0,0
470,286,21,2,470,0,0,0,0,0.0,0.0,9,-1,-1,0,0.0,0.0,5,75,9,0.0,0.0225,43,7,0.1429,0.1429,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
470,291,23,2,470,0,0,0,0,0.0,0.0,9,-1,-1,0,0.0,0.0,5,75,9,0.0,0.0225,64,14,0.3571,0.0714,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1
470,307,30,4,468,2,3,1,1,0.3333,0.3333,2,2,8,0,0.6667,0.3333,10,70,9,0.3333,0.0365,96,42,0.4048,0.0,0.1111,0.6667,0.0,0.6,0.2481,0.7519,0.2888,0.7112,0.3151,0.6849,0.0,63,1,1.0,1
470,307,30,5,470,0,3,1,1,0.3333,0.3333,2,2,8,0,0.6667,0.3333,10,70,9,0.3333,0.0365,96,42,0.4048,0.0,0.1111,0.6667,0.0,0.6,0.2481,0.7519,0.2888,0.7112,0.3151,0.6849,0.0,63,1,1.0,1
470,326,30,4,468,2,3,1,0,0.3333,0.0,2,2,-1,0,1.0,0.0,11,70,9,0.3333,0.1207,96,42,0.4048,0.0238,0.1667,1.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,75,1,1.0,1
470,326,30,5,470,0,3,1,0,0.3333,0.0,2,2,-1,0,1.0,0.0,11,70,9,0.3333,0.1207,96,42,0.4048,0.0238,0.1667,1.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,75,1,1.0,1
470,326,30,6,470,0,3,1,0,0.3333,0.0,2,2,-1,0,1.0,0.0,11,70,9,0.3333,0.1207,96,42,0.4048,0.0238,0.1667,1.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,75,1,1.0,1
470,357,34,2,468,2,1,1,0,1.0,0.0,2,2,-1,0,1.0,0.0,18,70,2,0.5,0.0085,113,45,0.3556,0.0,0.1333,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25,1,1.0,1
474,148,49,8,443,31,7,3,2,0.4286,0.2857,31,31,273,0,1.0,0.0,18,73,472,0.0148,1.4088,70,22,0.0,0.0,0.2338,0.2857,0.0,1.0,0.0,1.0,0.0001,0.9999,0.0169,0.9831,0.6667,332,1,1.0,0
474,148,49,9,474,0,7,3,2,0.4286,0.2857,31,31,273,0,1.0,0.0,18,73,472,0.0148,1.4088,70,22,0.0,0.0,0.2338,0.2857,0.0,1.0,0.0,1.0,0.0001,0.9999,0.0169,0.9831,0.6667,332,1,1.0,0
474,224,10,3,443,31,2,1,1,0.5,0.5,31,31,90,0,0.5,0.5,12,77,216,0.0093,0.3828,25,6,0.0,0.0,0.3333,0.5,0.0,1.0,0.0165,0.9835,0.1146,0.8854,0.3062,0.6938,0.0,120,1,1.0,0
475,196,4,3,461,14,2,1,1,0.5,0.5,14,32,14,1,0.5,0.5,8,71,260,0.0077,0.4269,42,12,0.0,0.0,0.4583,0.5,0.0,1.0,0.7769,0.2231,0.6511,0.3489,0.5621,0.4379,0.0,2147,1,1.0,1
475,197,7,4,468,7,3,2,1,0.6667,0.3333,7,14,7,1,0.6667,0.3333,8,70,260,0.0115,0.4336,58,20,0.0,0.0,0.25,0.3333,0.0,1.0,0.5579,0.4421,0.4535,0.5465,0.3825,0.6175,0.0,2172,1,1.0,1
475,198,11,3,461,14,2,1,1,0.5,0.5,14,32,14,1,0.5,0.5,10,70,260,0.0077,0.5781,36,7,0.0,0.0,0.2857,0.5,0.0,1.0,0.7769,0.2231,0.6511,0.3489,0.5621,0.4379,0.0,2147,1,1.0,1
475,205,17,4,461,14,3,1,2,0.3333,0.6667,14,32,14,1,0.3333,0.6667,12,75,260,0.0115,0.4169,38,9,0.0,0.0,0.3333,0.3333,0.3333,1.0,0.7769,0.2231,0.6517,0.3483,0.5836,0.4164,0.0,2152,1,1.0,0
475,206,18,3,461,14,2,2,0,1.0,0.0,14,14,-1,0,1.0,0.0,5,75,260,0.0077,0.4269,42,7,0.0,0.0,0.4286,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2147,1,1.0,1
475,274,25,2,443,32,1,1,0,1.0,0.0,32,32,-1,0,1.0,0.0,7,83,40,0.025,0.0995,79,10,0.4,0.0,0.4,1.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,456,1,1.0,1
475,282,7,2,470,5,1,0,1,0.0,1.0,5,-1,5,1,0.0,1.0,12,75,14,0.0714,0.0337,58,20,0.05,0.0,0.0,0.0,0.0,0.95,1.0,0.0,1.0,0.0,1.0,0.0,0.0,218,1,1.0,1
475,284,20,2,468,7,1,0,1,0.0,1.0,7,-1,7,1,0.0,1.0,17,83,14,0.0714,0.0337,39,6,0.3333,0.1667,0.0,0.0,0.0,0.67,1.0,0.0,1.0,0.0,1.0,0.0,0.0,25,1,1.0,1
475,286,21,3,470,5,2,0,1,0.0,0.5,5,-1,5,1,0.0,1.0,5,75,14,0.1429,0.0449,43,7,0.1429,0.1429,0.0,0.0,0.0,0.86,1.0,0.0,1.0,0.0,1.0,0.0,0.0,436,1,1.0,1
475,286,21,4,475,0,2,0,1,0.0,0.5,5,-1,5,1,0.0,1.0,5,75,14,0.1429,0.0449,43,7,0.1429,0.1429,0.0,0.0,0.0,0.86,1.0,0.0,1.0,0.0,1.0,0.0,0.0,436,1,1.0,1
475,288,21,2,461,14,1,1,0,1.0,0.0,14,14,-1,0,1.0,0.0,5,75,14,0.0714,0.0365,43,7,0.2857,0.1429,0.2857,1.0,0.0,0.71,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1691,1,1.0,1
475,290,22,2,461,14,1,1,0,1.0,0.0,14,14,-1,0,1.0,0.0,16,73,14,0.0714,0.0365,63,13,0.2308,0.0,0.2308,1.0,0.0,0.77,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1691,1,1.0,1
475,291,23,3,470,5,2,1,0,0.5,0.0,5,5,-1,0,1.0,0.0,5,75,14,0.1429,0.0449,64,14,0.3571,0.0714,0.1429,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,436,1,1.0,1
475,291,23,4,475,0,2,1,0,0.5,0.0,5,5,-1,0,1.0,0.0,5,75,14,0.1429,0.0449,64,14,0.3571,0.0714,0.1429,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,436,1,1.0,1
475,292,23,2,461,14,1,1,0,1.0,0.0,14,14,-1,0,1.0,0.0,8,100,14,0.0714,0.0657,64,14,0.1429,0.0714,0.1429,1.0,0.0,0.86,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1691,1,1.0,1
475,294,24,2,461,14,1,1,0,1.0,0.0,14,14,-1,0,1.0,0.0,17,75,14,0.0714,0.0739,75,15,0.2,0.0667,0.2,1.0,0.0,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1691,1,1.0,1
475,296,25,2,461,14,1,1,0,1.0,0.0,14,14,-1,0,1.0,0.0,7,71,14,0.0714,0.0365,79,10,0.4,0.1,0.3,1.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1691,1,1.0,1
475,298,26,2,461,14,1,1,0,1.0,0.0,14,14,-1,0,1.0,0.0,7,100,14,0.0714,0.1733,75,12,0.4167,0.0833,0.3333,1.0,0.0,0.58,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1691,1,1.0,1
475,300,27,2,461,14,1,1,0,1.0,0.0,14,14,-1,0,1.0,0.0,134,75,14,0.0714,0.0365,71,8,0.375,0.25,0.375,1.0,0.0,0.62,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1691,1,1.0,1
475,304,28,2,461,14,1,1,0,1.0,0.0,14,14,-1,0,1.0,0.0,10,70,14,0.0714,0.0365,55,7,0.2857,0.1429,0.1429,1.0,0.0,0.71,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1691,1,1.0,1
475,307,30,6,470,5,5,2,1,0.4,0.2,5,5,13,0,0.8,0.2,10,70,14,0.3571,0.059,96,42,0.4048,0.0,0.0952,0.8,0.0,0.6,0.1331,0.8669,0.1639,0.8361,0.1849,0.8151,0.5,499,1,1.0,1
475,307,30,7,475,0,5,2,1,0.4,0.2,5,5,13,0,0.8,0.2,10,70,14,0.3571,0.059,96,42,0.4048,0.0,0.0952,0.8,0.0,0.6,0.1331,0.8669,0.1639,0.8361,0.1849,0.8151,0.5,499,1,1.0,1
475,321,30,2,468,7,1,1,0,1.0,0.0,7,7,-1,0,1.0,0.0,10,70,14,0.0714,0.0337,96,42,0.4524,0.0,0.1667,1.0,0.0,0.55,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25,1,1.0,1
475,322,30,2,468,7,1,1,0,1.0,0.0,7,7,-1,0,1.0,0.0,10,70,14,0.0714,0.0337,96,42,0.4524,0.0,0.1667,1.0,0.0,0.55,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25,1,1.0,1
475,326,30,7,470,5,6,2,0,0.3333,0.0,5,5,-1,0,1.0,0.0,11,70,14,0.4286,0.1897,96,42,0.4048,0.0238,0.119,1.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,729,1,1.0,1
475,326,30,8,475,0,6,2,0,0.3333,0.0,5,5,-1,0,1.0,0.0,11,70,14,0.4286,0.1897,96,42,0.4048,0.0238,0.119,1.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,729,1,1.0,1
475,326,30,9,475,0,6,2,0,0.3333,0.0,5,5,-1,0,1.0,0.0,11,70,14,0.4286,0.1897,96,42,0.4048,0.0238,0.119,1.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,729,1,1.0,1
475,328,30,2,468,7,1,1,0,1.0,0.0,7,7,-1,0,1.0,0.0,10,70,14,0.0714,0.0337,96,42,0.4524,0.0238,0.1667,1.0,0.0,0.55,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25,1,1.0,1
475,338,34,2,470,5,1,1,0,1.0,0.0,5,5,-1,0,1.0,0.0,5,71,14,0.0714,0.0337,113,45,0.3556,0.0222,0.0889,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,218,1,1.0,1
475,339,34,2,470,5,1,1,0,1.0,0.0,5,5,-1,0,1.0,0.0,8,75,14,0.0714,0.096,113,45,0.3556,0.0222,0.0889,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,218,1,1.0,1
475,341,35,2,470,5,1,1,0,1.0,0.0,5,5,-1,0,1.0,0.0,5,75,14,0.0714,0.08,146,59,0.3051,0.0,0.0847,1.0,0.0,0.69,0.0,1.0,0.0,1.0,0.0,1.0,0.0,218,1,1.0,1
475,347,36,2,468,7,1,1,0,1.0,0.0,7,7,-1,0,1.0,0.0,5,75,14,0.0714,0.0407,71,26,0.3077,0.0,0.0385,1.0,0.0,0.69,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25,1,1.0,1
475,355,30,2,468,7,1,1,0,1.0,0.0,7,7,-1,0,1.0,0.0,11,70,13,0.0769,0.069,96,42,0.4048,0.0238,0.1667,1.0,0.0,0.6,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25,1,1.0,1
475,356,29,2,468,7,1,1,0,1.0,0.0,7,7,-1,0,1.0,0.0,10,70,7,0.1429,0.0172,92,37,0.4865,0.027,0.2162,1.0,0.0,0.51,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25,1,1.0,1
475,357,34,3,470,5,2,2,0,1.0,0.0,5,5,-1,0,1.0,0.0,18,70,7,0.2857,0.0424,113,45,0.3556,0.0,0.1111,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,243,1,1.0,1
475,358,34,2,468,7,1,1,0,1.0,0.0,7,7,-1,0,1.0,0.0,10,70,7,0.1429,0.0172,113,45,0.4667,0.0,0.1333,1.0,0.0,0.53,0.0,1.0,0.0,1.0,0.0,1.0,0.0,25,1,1.0,1
475,359,70,2,468,7,1,0,1,0.0,1.0,7,-1,7,1,0.0,1.0,5,71,7,0.1429,0.0172,42,18,0.2778,0.0,0.0,0.0,0.0,0.72,1.0,0.0,1.0,0.0,1.0,0.0,0.0,25,1,1.0,1
475,360,36,2,470,5,1,1,0,1.0,0.0,5,5,-1,0,1.0,0.0,6,75,5,0.2,0.0115,71,26,0.1923,0.0,0.0385,1.0,0.0,0.81,0.0,1.0,0.0,1.0,0.0,1.0,0.0,218,1,1.0,1
476,286,21,5,475,1,4,1,1,0.25,0.25,1,1,6,0,0.5,0.5,5,75,15,0.2667,0.0449,43,7,0.1429,0.1429,0.2857,0.5,0.0,0.86,0.4142,0.5858,0.4568,0.5432,0.4827,0.5173,1.0,2056,1,1.0,0
476,286,21,6,476,0,4,1,1,0.25,0.25,1,1,6,0,0.5,0.5,5,75,15,0.2667,0.0449,43,7,0.1429,0.1429,0.2857,0.5,0.0,0.86,0.4142,0.5858,0.4568,0.5432,0.4827,0.5173,1.0,2056,1,1.0,0
476,291,23,5,475,1,4,2,0,0.5,0.0,1,1,-1,0,1.0,0.0,5,75,15,0.2667,0.0449,64,14,0.3571,0.0714,0.3214,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2056,1,1.0,1
476,291,23,6,476,0,4,2,0,0.5,0.0,1,1,-1,0,1.0,0.0,5,75,15,0.2667,0.0449,64,14,0.3571,0.0714,0.3214,1.0,0.0,0.64,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2056,1,1.0,1
