revision_number,method_name,method_signature,package_name,class_name,src,start_line,end_line,methodId,globalMethodId
311 | addRecord | addRecord(Record r, byte cred, Object o) | DNS | Cache | org/xbill/DNS/Cache.java | 105 | 123 | 222501 | 3
311 | addRecord | addRecord(Record r, int section) | DNS | Message | org/xbill/DNS/Message.java | 97 | 100 | 222502 | 3
311 | addRecord | addRecord(Record r) | DNS | Zone | org/xbill/DNS/Zone.java | 140 | 147 | 222503 | 3
311 | addResolver | addResolver(Resolver r) | DNS | ExtendedResolver | org/xbill/DNS/ExtendedResolver.java | 298 | 300 | 222504 | 346
311 | addSet | addSet(Name name, short type, short dclass, Object set) | DNS | NameSet | org/xbill/DNS/NameSet.java | 90 | 97 | 222505 | 303
311 | addTCP | addTCP(final short port) |  | jnamed | jnamed.java | 432 | 436 | 222506 | 209
311 | addTSIG | addTSIG(String name, String key) |  | jnamed | jnamed.java | 65 | 67 | 222507 | 294
311 | addUDP | addUDP(final short port) |  | jnamed | jnamed.java | 439 | 443 | 222508 | 210
311 | addZone | addZone(String zonefile) throws IOException |  | jnamed | jnamed.java | 58 | 62 | 222509 | 198
311 | answers | answers() | DNS | SetResponse | org/xbill/DNS/SetResponse.java | 130 | 138 | 222510 | 377
311 | append | append(Name d) | DNS | Name | org/xbill/DNS/Name.java | 171 | 174 | 222511 | 23
311 | apply | apply(Message m, TSIGRecord old) throws IOException | DNS | TSIG | org/xbill/DNS/TSIG.java | 46 | 88 | 222512 | 108
311 | backtrace | backtrace() | DNS | SetResponse | org/xbill/DNS/SetResponse.java | 156 | 158 | 222513 | 382
311 | base16 | base16() {} | DNS.utils | base16 | org/xbill/DNS/utils/base16.java | 19 | 20 | 222514 | 349
311 | base64 | base64() {} | DNS.utils | base64 | org/xbill/DNS/utils/base64.java | 19 | 20 | 222515 | 350
311 | clear | clear() | DNS | RRset | org/xbill/DNS/RRset.java | 78 | 82 | 222516 | 112
311 | clear | clear() | DNS.utils | hmacSigner | org/xbill/DNS/utils/hmacSigner.java | 119 | 126 | 222517 | 112
311 | clone | clone() | DNS | Header | org/xbill/DNS/Header.java | 244 | 255 | 222518 | 343
311 | clone | clone() | DNS | Message | org/xbill/DNS/Message.java | 305 | 313 | 222519 | 343
311 | decCount | decCount(int field) | DNS | Header | org/xbill/DNS/Header.java | 172 | 174 | 222520 | 47
311 | deleteResolver | deleteResolver(Resolver r) | DNS | ExtendedResolver | org/xbill/DNS/ExtendedResolver.java | 304 | 306 | 222521 | 347
311 | dns | dns() {} | DNS | dns | org/xbill/DNS/dns.java | 30 | 31 | 222522 | 351
311 | doAXFR | doAXFR(Message query, Resolver res) throws IOException |  | dig | dig.java | 33 | 51 | 222523 | 33
311 | doAdd | doAdd(MyStringTokenizer st) throws IOException |  | update | update.java | 303 | 321 | 222524 | 123
311 | doAssert | doAssert(MyStringTokenizer st) |  | update | update.java | 416 | 447 | 222525 | 194
311 | doDelete | doDelete(MyStringTokenizer st) throws IOException |  | update | update.java | 324 | 342 | 222526 | 170
311 | doFile | doFile(MyStringTokenizer st, Vector inputs, Vector istreams) |  | update | update.java | 381 | 401 | 222527 | 193
311 | doGlue | doGlue(MyStringTokenizer st) throws IOException |  | update | update.java | 345 | 363 | 222528 | 171
311 | doLog | doLog(MyStringTokenizer st) |  | update | update.java | 404 | 413 | 222529 | 289
311 | doProhibit | doProhibit(MyStringTokenizer st) throws IOException |  | update | update.java | 282 | 300 | 222530 | 172
311 | doQuery | doQuery(Message query, Resolver res) throws IOException |  | dig | dig.java | 20 | 30 | 222531 | 34
311 | doQuery | doQuery(MyStringTokenizer st) throws IOException |  | update | update.java | 366 | 378 | 222532 | 34
311 | doRequire | doRequire(MyStringTokenizer st) throws IOException |  | update | update.java | 261 | 279 | 222533 | 173
311 | equals | equals(Object arg) | DNS | Name | org/xbill/DNS/Name.java | 270 | 281 | 222534 | 36
311 | equals | equals(Object arg) | DNS | Record | org/xbill/DNS/Record.java | 362 | 379 | 222535 | 36
311 | equals | equals(Object arg) | DNS | TypeClass | org/xbill/DNS/TypeClass.java | 22 | 31 | 222536 | 36
311 | expiredTTL | expiredTTL() | DNS | Cache | org/xbill/DNS/Cache.java | 65 | 67 | 222537 | 314
311 | findAnyRecords | findAnyRecords(Name name, short type, short dclass) | DNS | Cache | org/xbill/DNS/Cache.java | 265 | 267 | 222538 | 304
311 | findBestZone | findBestZone(Name name) |  | jnamed | jnamed.java | 70 | 81 | 222539 | 201
311 | findExactMatch | findExactMatch(Name name, short type, short dclass, boolean glue) |  | jnamed | jnamed.java | 84 | 99 | 222540 | 278
311 | findExactMatch | findExactMatch(Name name, short type) | DNS | Zone | org/xbill/DNS/Zone.java | 130 | 132 | 222541 | 278
311 | findExactSet | findExactSet(Name name, short type, short dclass) | DNS | NameSet | org/xbill/DNS/NameSet.java | 70 | 75 | 222542 | 303
