revision_number,method_name,method_signature,package_name,class_name,src,start_line,end_line,methodId,globalMethodId
237 | doQuery | doQuery(Message query, Resolver res) throws IOException |  | dig | dig.java | 20 | 30 | 158540 | 34
237 | doQuery | doQuery(MyStringTokenizer st) throws IOException |  | update | update.java | 365 | 377 | 158541 | 34
237 | doRequire | doRequire(MyStringTokenizer st) throws IOException |  | update | update.java | 260 | 278 | 158542 | 173
237 | equals | equals(Object arg) | DNS | Name | DNS/Name.java | 243 | 254 | 158543 | 36
237 | equals | equals(Object arg) | DNS | Record | DNS/Record.java | 288 | 305 | 158544 | 36
237 | equals | equals(Object arg) | DNS | TypeClass | DNS/TypeClass.java | 17 | 22 | 158545 | 36
237 | equals | equals(Object arg) | DNS | Name | org/xbill/DNS/Name.java | 243 | 254 | 158546 | 36
237 | equals | equals(Object arg) | DNS | Record | org/xbill/DNS/Record.java | 288 | 305 | 158547 | 36
237 | equals | equals(Object arg) | DNS | TypeClass | org/xbill/DNS/TypeClass.java | 17 | 22 | 158548 | 36
237 | expiredTTL | expiredTTL() | DNS | Cache | DNS/Cache.java | 56 | 58 | 158549 | 314
237 | expiredTTL | expiredTTL() | DNS | Cache | org/xbill/DNS/Cache.java | 56 | 58 | 158550 | 314
237 | find | find() | DNS | FindServer | DNS/FindServer.java | 80 | 94 | 158551 | 225
237 | find | find() | DNS | FindServer | org/xbill/DNS/FindServer.java | 80 | 94 | 158552 | 225
237 | find1 | find1() | DNS | FindServer | DNS/FindServer.java | 97 | 103 | 158553 | 334
237 | find1 | find1() | DNS | FindServer | org/xbill/DNS/FindServer.java | 97 | 103 | 158554 | 334
237 | findAnyRecords | findAnyRecords(Name name, short type, short dclass) | DNS | Cache | DNS/Cache.java | 174 | 176 | 158555 | 304
237 | findAnyRecords | findAnyRecords(Name name, short type, short dclass) | DNS | Cache | org/xbill/DNS/Cache.java | 174 | 176 | 158556 | 304
237 | findBestZone | findBestZone(Name name) |  | jnamed | jnamed.java | 70 | 81 | 158557 | 201
237 | findExactMatch | findExactMatch(Name name, short type, short dclass, boolean glue) |  | jnamed | jnamed.java | 84 | 93 | 158558 | 278
237 | findExactSet | findExactSet(Name name, short type, short dclass) | DNS | NameSet | DNS/NameSet.java | 36 | 41 | 158559 | 303
237 | findExactSet | findExactSet(Name name, short type, short dclass) | DNS | NameSet | org/xbill/DNS/NameSet.java | 36 | 41 | 158560 | 303
237 | findName | findName(Name name) | DNS | NameSet | DNS/NameSet.java | 44 | 46 | 158561 | 202
237 | findName | findName(Name name) | DNS | Zone | DNS/Zone.java | 68 | 70 | 158562 | 202
237 | findName | findName(Name name) | DNS | NameSet | org/xbill/DNS/NameSet.java | 44 | 46 | 158563 | 202
237 | findName | findName(Name name) | DNS | Zone | org/xbill/DNS/Zone.java | 68 | 70 | 158564 | 202
237 | findProperty | findProperty() | DNS | FindServer | DNS/FindServer.java | 15 | 40 | 158565 | 226
237 | findProperty | findProperty() | DNS | FindServer | org/xbill/DNS/FindServer.java | 15 | 40 | 158566 | 226
237 | findRecord | findRecord(Record r) | DNS | Message | DNS/Message.java | 95 | 99 | 158567 | 270
237 | findRecord | findRecord(int section, Record r) | DNS | Message | DNS/Message.java | 90 | 92 | 158568 | 3
237 | findRecord | findRecord(Record r) | DNS | Message | org/xbill/DNS/Message.java | 95 | 99 | 158569 | 270
237 | findRecord | findRecord(int section, Record r) | DNS | Message | org/xbill/DNS/Message.java | 90 | 92 | 158570 | 3
237 | findRecords | findRecords(Name name, short type, short dclass) | DNS | Cache | DNS/Cache.java | 169 | 171 | 158571 | 301
237 | findRecords | findRecords(Name name, short type, short dclass, byte minCred) | DNS | Cache | DNS/Cache.java | 160 | 166 | 158572 | 301
237 | findRecords | findRecords(Name name, short type) | DNS | Zone | DNS/Zone.java | 63 | 65 | 158573 | 301
