revision_number,method_name,method_signature,package_name,class_name,src,start_line,end_line,methodId,globalMethodId
261 | Zone | Zone(String file, Cache cache) throws IOException | DNS | Zone | DNS/Zone.java | 20 | 36 | 178673 | 200
261 | Zone | Zone(String file, Cache cache) throws IOException | DNS | Zone | org/xbill/DNS/Zone.java | 20 | 36 | 178674 | 200
261 | add | add(int pos, Name name) | DNS | Compression | DNS/Compression.java | 18 | 21 | 178675 | 2
261 | add | add(int pos, Name name) | DNS | Compression | org/xbill/DNS/Compression.java | 18 | 21 | 178676 | 2
261 | addAdditional | addAdditional(Message response) |  | jnamed | jnamed.java | 160 | 163 | 178677 | 273
261 | addAdditional2 | addAdditional2(Message response, int section) |  | jnamed | jnamed.java | 144 | 157 | 178678 | 274
261 | addAuthority | addAuthority(Message response, Name name, Zone zone) |  | jnamed | jnamed.java | 106 | 130 | 178679 | 275
261 | addGlue | addGlue(Message response, Name name) |  | jnamed | jnamed.java | 133 | 141 | 178680 | 276
261 | addMessage | addMessage(Message in) | DNS | Cache | DNS/Cache.java | 179 | 255 | 178681 | 300
261 | addMessage | addMessage(Message in) | DNS | Cache | org/xbill/DNS/Cache.java | 179 | 255 | 178682 | 300
261 | addNegative | addNegative(Name name, short type, short dclass, int ttl, byte cred, Object o) | DNS | Cache | DNS/Cache.java | 119 | 124 | 178683 | 315
261 | addNegative | addNegative(Name name, short type, short dclass, int ttl, byte cred, Object o) | DNS | Cache | org/xbill/DNS/Cache.java | 119 | 124 | 178684 | 315
261 | addRR | addRR(Record r) | DNS | RRset | DNS/RRset.java | 20 | 29 | 178685 | 249
261 | addRR | addRR(Record record) | DNS | Zone | DNS/Zone.java | 73 | 80 | 178686 | 249
261 | addRR | addRR(Record r) | DNS | RRset | org/xbill/DNS/RRset.java | 20 | 29 | 178687 | 249
261 | addRR | addRR(Record record) | DNS | Zone | org/xbill/DNS/Zone.java | 73 | 80 | 178688 | 249
261 | addRRset | addRRset(RRset rrset, byte cred, Object o) | DNS | Cache | DNS/Cache.java | 106 | 116 | 178689 | 277
261 | addRRset | addRRset(Message response, RRset rrset) |  | jnamed | jnamed.java | 96 | 102 | 178690 | 277
261 | addRRset | addRRset(RRset rrset, byte cred, Object o) | DNS | Cache | org/xbill/DNS/Cache.java | 106 | 116 | 178691 | 277
261 | addRecord | addRecord(Record r, byte cred, Object o) | DNS | Cache | DNS/Cache.java | 85 | 103 | 178692 | 3
261 | addRecord | addRecord(int section, Record r) | DNS | Message | DNS/Message.java | 68 | 71 | 178693 | 3
261 | addRecord | addRecord(Record r, byte cred, Object o) | DNS | Cache | org/xbill/DNS/Cache.java | 85 | 103 | 178694 | 3
261 | addRecord | addRecord(int section, Record r) | DNS | Message | org/xbill/DNS/Message.java | 68 | 71 | 178695 | 3
261 | addResolver | addResolver(Resolver r) | DNS | ExtendedResolver | DNS/ExtendedResolver.java | 241 | 243 | 178696 | 346
261 | addResolver | addResolver(Resolver r) | DNS | ExtendedResolver | org/xbill/DNS/ExtendedResolver.java | 241 | 243 | 178697 | 346
261 | addSet | addSet(Name name, short type, short dclass, Object set) | DNS | NameSet | DNS/NameSet.java | 45 | 50 | 178698 | 303
261 | addSet | addSet(Name name, short type, short dclass, Object set) | DNS | NameSet | org/xbill/DNS/NameSet.java | 45 | 50 | 178699 | 303
261 | addTCP | addTCP(final short port) |  | jnamed | jnamed.java | 401 | 405 | 178700 | 209
