n,n_pos,n_neg,mcc,balanced_acc,f1,auc_roc,pr_auc,TP,TN,FP,FN,sensitivity,specificity,gmean,model,revision,threshold,train_size
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,691,0.427,802
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,696,0.296,803
5,2,3,0.6666666666666666,0.8333333333333333,0.8,1.0,1.0,2,2,1,0,1.0,0.6667,0.816496580927726,RandomForest,697,0.296,806
9,2,7,0.5976143046671968,0.8571428571428572,0.6666666666666666,1.0,1.0,2,5,2,0,1.0,0.7143,0.8451542547285166,RandomForest,698,0.427,811
31,28,3,1.0,1.0,1.0,1.0,0.9999999999999999,28,3,0,0,1.0,1.0,1.0,RandomForest,699,0.443,820
8,6,2,0.7453559924999299,0.9166666666666667,0.9090909090909091,1.0,1.0,5,2,0,1,0.8333,1.0,0.9128709291752769,RandomForest,700,0.443,851
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,703,0.443,859
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,711,0.443,861
8,4,4,0.7745966692414834,0.875,0.8571428571428571,1.0,1.0,3,4,0,1,0.75,1.0,0.8660254037844386,RandomForest,714,0.443,863
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,717,0.296,871
7,2,5,0.7302967433402214,0.9,0.8,0.9,0.8333333333333333,2,4,1,0,1.0,0.8,0.8944271909999159,RandomForest,720,0.296,872
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,731,0.296,879
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,732,0.296,880
9,2,7,0.5976143046671968,0.8571428571428572,0.6666666666666666,0.8571428571428572,0.6666666666666666,2,5,2,0,1.0,0.7143,0.8451542547285166,RandomForest,735,0.296,881
30,27,3,0.8498365855987975,0.9814814814814814,0.9811320754716981,0.9629629629629629,0.9962962962962962,26,3,0,1,0.963,1.0,0.9813067629253163,RandomForest,737,0.296,890
24,23,1,1.0,1.0,1.0,1.0,0.9999999999999999,23,1,0,0,1.0,1.0,1.0,RandomForest,740,0.476,920
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,741,0.214,944
2,1,1,0.0,0.5,0.6666666666666666,1.0,1.0,1,0,1,0,1.0,0.0,0.0,RandomForest,742,0.214,945
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,743,0.214,947
15,12,3,0.7844645405527361,0.8333333333333333,0.9600000000000001,0.8611111111111112,0.9614769489769491,12,2,1,0,1.0,0.6667,0.816496580927726,RandomForest,745,0.214,948
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,751,0.214,963
17,17,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,755,0.28,964
33,32,1,1.0,1.0,1.0,1.0,1.0,32,1,0,0,1.0,1.0,1.0,RandomForest,756,0.28,981
2,0,2,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,757,0.1,1014
14,12,2,1.0,1.0,1.0,1.0,1.0,12,2,0,0,1.0,1.0,1.0,RandomForest,760,0.149,1016
6,3,3,0.4472135954999579,0.6666666666666666,0.7499999999999999,0.33333333333333337,0.4777777777777778,3,1,2,0,1.0,0.3333,0.5773502691896257,RandomForest,763,0.149,1030
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,770,0.149,1036
4,3,1,0.0,0.5,0.8571428571428571,0.6666666666666666,0.9166666666666666,3,0,1,0,1.0,0.0,0.0,RandomForest,774,0.149,1038
2,2,0,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,776,0.459,1042
7,4,3,0.7302967433402214,0.8333333333333333,0.888888888888889,1.0,1.0,4,2,1,0,1.0,0.6667,0.816496580927726,RandomForest,777,0.149,1044
9,2,7,0.6614378277661476,0.75,0.6666666666666666,0.8571428571428572,0.75,1,7,0,1,0.5,1.0,0.7071067811865476,RandomForest,785,0.459,1051
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,786,0.459,1060
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,787,0.476,1061
3,2,1,1.0,1.0,1.0,1.0,1.0,2,1,0,0,1.0,1.0,1.0,RandomForest,789,0.476,1062
30,23,7,0.8427009716003844,0.9565217391304348,0.9545454545454545,0.9875776397515529,0.9962980466288593,21,7,0,2,0.913,1.0,0.9555330859059091,RandomForest,791,0.476,1065
30,18,12,0.8017837257372731,0.875,0.923076923076923,0.9768518518518519,0.9862155388471179,18,9,3,0,1.0,0.75,0.8660254037844386,RandomForest,793,0.476,1095
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,795,0.198,1125
24,16,8,0.816496580927726,0.875,0.9411764705882353,0.9609375,0.9815359477124184,16,6,2,0,1.0,0.75,0.8660254037844386,RandomForest,797,0.198,1126
11,7,4,0.4485426135725303,0.7321428571428572,0.7692307692307692,0.9285714285714286,0.9617346938775508,5,3,1,2,0.7143,0.75,0.7319250547113999,RandomForest,798,0.769,1150
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,799,0.263,1161
24,14,10,0.7592566023652966,0.85,0.9032258064516129,0.9285714285714286,0.9395992895992896,14,7,3,0,1.0,0.7,0.8366600265340756,RandomForest,800,0.312,1162
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,805,0.361,1186
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,806,0.361,1189
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,808,0.361,1190
14,8,6,0.7302967433402214,0.8333333333333333,0.888888888888889,1.0,1.0,8,4,2,0,1.0,0.6667,0.816496580927726,RandomForest,809,0.361,1191
1,0,1,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,813,0.639,1205
3,0,3,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.0,0.0,0.0,RandomForest,816,0.639,1206
